District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobil,Contact Person,Working Sector
Bara,जनता युवा क्लब,Public Youth Club,,,,,,,,,
Bara,जन चेतना जागरण अभियान,Public Conciousness Awareness Campaign,,,,,,,,,
Bara,सेतो गुरास बाल बिकास सेवा,Seto Gurans Children Development Service,,,,,,,,,
Bara,आमा समूह पथलैया,Aama Samuha,,,,,,,,,
Bara,स्टार यूवा क्लब,Star Youth Club,,,,,,,,,
Bara,जन शक्ति क्लब,Jana Shakti Club,,,,,,,,,
Bara,सयपत्री क्लब,Saya Patri Club,,,,,,,,,
Bara,समुन्नत समाज र्सिजना केन्द्र,Samunnta Samaj Srijana Kendra,,,,,,,,,
Bara,एकता युवा क्लब,Ekta Youth Club,,,,,,,,,
Bara,पथलैया नाट्य मण्डली,Pathaliya Drama Mandali,,,,,,,,,
Bara,जन चेतना युवा क्लब,Public Awareness Youth Club,,,,,,,,,
Bara,जन सेवा युवा स्पोर्ट्स क्लब,Public Service Youth Sports Club,,,,,,,,,
Bara,चेतना समूह,Chetana Samuha,,,,,,,,,
Bara,समाज सुधार तथा बिकास संस्था,Social Improvement and Development Organization,,Kaliya -6,,,,,,,
Bara,तामगढी युवा क्लब,Tamgadhi Youth Club,,,,,,,,,
Bara,सहिद सरोज स्मृति क्लब,Martyr Saroj Memorial Club,,,,,,,,,
Bhaktapur,दिदि बहिनी,Didi Bahini ,,Dadhikot-5,01-4226753,,,,,,
Bhaktapur,छत्रपाल युवा समाज सेवा परिवार,Chhatrapal Youth Social Service Family,,"Katunje-7, Gairidol",,,,,,,
Bhaktapur,न्युनतम सुविधा विहीन बालबालिकाहरुका लागि शैक्षिक कार्यक्रम नेपाल,Underprivileged Children's Educational Programs Nepal  ,,"Madyapur thimi-17, Sanothimi",01-6630388,,ucp@ccsi.com.np,,,,
Bhaktapur,सामाजिक अधिकार तथा विकास मञ्च,Social Rights and Development Forum,,"Bhaktapur-15, Itachhe",01-6612293,,,,,,
Bhaktapur,युवा क्रियाकलाप समाज,Society For Youth Activity,,Bhaktapur-17,,,,,,,
Bhaktapur,आधार नेपाल ,Aadhar Nepal,,"Bhaktapur-17, Dudhapati",,,,,,,
Bhaktapur,बाल तथा महिला हित समाज नेपाल ,Child and Women Welfare Society ,,Sipadol-1,,,,,,,
Bhaktapur,जनहित समाज नेपाल,People Welfare Society Nepal,,"Madyapur Thimi-16, Lokanthali",,,,,,,
Bhaktapur,श्रीमती सुशीलासुबेदी छात्रवृती कोष,Shree Mati Sushila  Subedi Schoolarship Fund,,"Madyapur Thimi-16, Lokanthali",,,,,,,
Bhaktapur,श्री हनुमानघाट सामाजीक सेवा समिति,Shree Hanumanghat Social Service Committee,,BKT-2 Hanumanghat,,,,,,,
Bhaktapur,महाकाली क्षेत्र संरक्षण समिति,Mahakali Area Protection Committee,,Sirutar-7,,,,,,,
Bhaktapur,नेपाल रेडक्रस सोसाइटि ,Nepal Red Cross Society,,"Bhaktapur-17,  Dudhapati",,,,,,,
Bhaktapur,सामुदायिक स्वास्थ्य केन्द्र,Community Health Centre,,"Bhaktapur-13, Ghatakha",,,,,,,
Bhaktapur,युद्ध प्रसाद मिश्र स्मृति प्रतिष्ठान,Yuddha Prasad Mirsa Memorial Foundation,,Sirutar-7,,,,,,,
Bhaktapur,सिरु बौद्धिक समाज,Siru Intellectual society,,Sirutar-2,01-6631798,,,,,,
Bhaktapur,फेदी युवा क्लब नगरकोट,Phedi Youth Club Nagarkot,,"Nagarkot-2, Telkot",,,,,,,
Bhaktapur,गरिमा पुस्तकालय नगरकोट,Garima Library Nagarkot,,"Nagarkot-2, Telkot",,,,,,,
Bhaktapur,भक्तपुर बहिरा संघ,Bhaktapur Deaf Organization,,"Bhaktapur-9, Kalighat",,,,,,,
Bhaktapur,बृहस्पति युवा क्लब,Brihaspati Youth Club,,Balkot-2,,,,,,,
Bhaktapur,सामुदायिक कार्य केन्द्र नेपाल ९ऋब्ऋ(ल्भउब०ि,Community Action Centre Nepal,,"Bhaktapur-14, Chundevi",01-6614310,,,,,,
Bhaktapur,अविभावक नेपाल ,Guardian Nepal,,Bhaktapur-14,,,,,,,
Bhaktapur,विकास क्लव ,Development Club,,Balkot-1,01-6631902,,rohitrana7@hotmail.com,,,,
Bhaktapur,सारथी ,Sarathi,,Duwakot -2,2130366,,kanchhaaale@yahoo.com,,,,
Bhaktapur,वातावरण संरक्षण मञ्च ,Environment Protection Forum,,"Jhaukhel-8, Ram Nagar",01-6613747,,,,,,
Bhaktapur,महिला तथा बालबालिका विकास केन्द्र ,Women and Children Development Centre,,Balkot-3,01-6632310,,,,,,
Bhaktapur,श्री गणेश युवा क्लव ,Shree Ganesh Youth Club,,Duwakot-1,,,,,,,
Bhaktapur,पीस नेपाल ,Peace Nepal ,,"Bhaktapur-4, Mahalaxmisthan",6612271,,peacenepal_mahalaxmisthan@yahoo.com,,,,
Bhaktapur,ईफा नेपाल ,Eepha Nepla,,Bhaktapur-8,6610176,,,,,,
Bhaktapur,बालबालिकाका लागि मानवतावादी ट्रष्ट नेपाल,Humanitarian Trust for Children Nepal,,Madhyapur Thimi-15,6635975,,htcnepal@globalhumanitaria.com,,,,
Bhaktapur,ओजष्वी महिला समाज ,Ojaswi Women Society ,,Madhyapur Thimi-15,6638046,,maiya_ghimire@hotmail.com,,,,
Bhaktapur,स्मृति युवा समूह ,Smriti Youth Group,,Jhaukhel-6,,,,,,,
Bhaktapur,सामुदायिक विकास केन्द्र ,Community Development Centre,,Bhaktapur-17,6617271,,yusabm@yahoo.com,,,,
Bhaktapur,कटुञ्जे महिला उत्थान सेवा केन्द्र ,Katunje Women Progress Service Centre,,Katunje-2,2230420,,,,,,
Bhaktapur,मानव अधिकार तथा जनस्वास्थ्य मञ्च नेपाल ,Forum For Human Rights and Public Health nepal,,Madhyapur Thimi-16,6630034/9851011100,,friendshipnepal@wlink.com.np,,,,
Bhaktapur,एस.एम. अभिभावक संघ ,M.S. Guardian Organization,,Madhyapur Thimi-15,6614362,,kedarp1@hotmail.com,,,,
Bhaktapur,सघन विकास अध्ययन मञ्च,Saghan Bikas Adhdhyan Manch ,,Bhaktapur-5,9841022480,,,,,,
Bhaktapur,न्यू स्टार युवा समूह,New Star Youth Group,,Nagarkot-2,,,,,,,
Bhaktapur,ब्रम्हनगर महिला जागरण समाज ,Brahamanagar Women Motivation Society,,Balkot-9,16633223,,,,,,
Bhaktapur,सामुदायिक विकास तथा अनुस्न्धान केन्द्र ,Cummunity Development And Research Center,,Madhyapur Thimi-15,16633186,,,,,,
Bhaktapur,सामाजिक सहअस्तित्व विकास केन्द्र ,Center For Social Coexistence Development,,Katunje-7,9741108329,,,,,,
Bhaktapur,चेतनशील महिला समूह ,Women Concious  Group,,Balkot-9,6632811,,,,,,
Bhaktapur,बियोण्ड ,Beyond,,Katunje-8,,,Jhasachit@yahoo.com,,,,
Bhaktapur,स्वस्थ नेपाल,Healthy Nepal,,Katunje-6,9851128070,,nic_raju@hotmail.com,,,,
Chitwan,मितेरी क्लब,Miteri Club,,Mangalpur-7,,,,,,,
Chitwan,दियालो परिवार,Diyalo Pariwar,,Narayangadha -1,056-523031,,diyalopariwar@yahoo.com,,9845057533,,"Environment conservation and Sustainable Development,Drinking water health and sanitation,,Income generation,women empowerment,"
Chitwan,वातावरण संरक्षण समुदाय,Environment Protection Community ,,Bharatpur,,,,,,,
Chitwan,नारी उत्थान केन्द्र,Women Upliftment Centre,,Bharatpur-1,,,,,,,
Chitwan,राइनो क्लब,Raino Club,,Bharatpur,,,,,,,
Chitwan,यूथ क्लव ,Youth Club-Narayangard,,Bharatpur-1,056-521456,,,,,,
Chitwan,नारी अभ्यूदय केन्द्र,Nari Abhudya Kendra,,Bharatpur-2,,,,,,,
Chitwan,धर्मोदय क्लब,Dharmodaya Club,,Sharadanagar-5,,,,,,,
Chitwan,चौतारी भरतपुर,Chautari Bharatpur,,Bharatpur-9,,,,,,,
Chitwan,जनप्रेमी यूवा क्लव,Jana Premi Youth Club,,Patihani-2,,,,,,,
Chitwan,आदर्श यूवा क्लव,Aadarsa Youth Club,,Bharatpur-9,,,,,,,
Chitwan,नवदुर्गा मन्दिर सञ्चालन समिति परिवार,Family of Naba Durga Conduction Committee,,Bharatpur-10,,,,,,,
Chitwan,समाज सुधार यूवा क्लब,Society Improvement Youth Club,,Aayodhyapuri-9,,,,,,,
Chitwan,यूनिक यूथ क्लव,Unique Youth   Club,,Bharatpur-6,,,,,,,
Chitwan,नौरंगे यूवा क्लव,Naurange Youth Club,,Bharatpur-12,,,,,,,
Chitwan,ग्रामीण महिला विकास समाज,Rural Women Development Society,,Chainpur-3,,,,,,,
Chitwan,सगुन विकास समाज,Sagun Development Society,,Jutpani-1,,,,,,,
Chitwan,महिला एकता समुह,Women Unity Group,,Bharatpur-14,,,,,,,
Chitwan,सुर्योदय युवा क्लव,Suryodaya Youth Club,,"Sukranagar-9,Soshibajar",,,,,,,"Elder Education, Informal Education"
Chitwan,चितवन क्लब,Chitwan Club,,Narayangadha ,,,,,,,
Chitwan,एक्टीभ युथ सोसाइटी,Active Youth Society,,Bhandara-3,,,,,,,
Chitwan,पंचरत्न युवा क्लब,Pancharatana Youth Club,,Ratnanagar-8,,,,,,,
Chitwan,ग्रामीण महिला एकता केन्द्र,Rural Women Unity Centre,,Chainpur-7,,,,,,,
Chitwan,वातावरण तथा विकास सरोकार समाज,Society Concern of Environment and Development,,Patihani-5,,,,,,,
Chitwan,चित्रसेन युवा क्लब,Chitrasen Youth Club,,Ratnanagar-5,,,,,,,
Chitwan,हिमचुली सामुदायिक सेवा समाज,Himchuli Community Service Society,,Jutpani-5,,,,,,,
Chitwan,सहभागी,Sahabhagi,,Bharatpur-12,,,,,,,
Chitwan,सामाजीक विकास केन्द्र,Social Development Centre,,,,,,,,,
Chitwan,श्रम नेपाल,Sram Nepal,,Narayangadha,,,,,,,
Chitwan,जनसेवा अभियान,People Service Campaign,,Bharatpur-10,,,,,,,
Chitwan,महिला श्रोत विकास तथा सहयोग केन्द्र,Women Resource Development and Support Centre,,Bharatpur-9,,,,,,,
Chitwan,लेकाली युवा समाज,Lekali Youth Society,,Darechock-7,,,,,,,
Chitwan,दिगो विकासको लागी एकता नेपाल,Unity for Sustainable Development Nepal ,,Parbatipur-7,,,,,,,
Chitwan,महिला सघन विकास केन्द्र,Women Integrated Development Centre ,,"Khairahni-4,Parsa",056-6582952,,women.d.sunita@gmail.com,,9845055165,,"Human rights,women rights,Children rights, health rights"
Chitwan,नागरिक चेतना समाज,Citizen Awareness Society,,Bharatpur-10,,,,,,,
Chitwan,महिला स्वाबलम्बन समाज,Women Self Reliance Society,,Bharatpur-12,,,,,,,
Chitwan,युवा समाज नेपाल,Youth Society Nepal,,"Bharatpur-4, Lionschok",056-560008,,contact@ysnngt.org.np,www.ysnngt.org.np,9855057977,,"Drinking water and Sanitation, income generation, Conservation of Environment, Scholarship"
Chitwan,आपसी सहयोग केन्द्र,Aapasi Sahayog Kendra,,Bharatpur-2,,,,,,,
Chitwan,,,,,,,,,,,
Chitwan,युथ क्लब,Youth Club-Narayangard,,"Bharatpur-3, Chitwan",056-521456,,ycn@ntc.net.np,www.ycnchitwan.webs.com,9845085383,,"Children,Health and sanitation,Education, Drinking water"
Chitwan,प्रभात किरण सेवा समाज,Prabhat Kiran Sewa Samaj,,"Sukranagar-3, Chitwan",056-529416,,cpcchitwan@gmail.com,,,,Education for Women and Children
Chitwan,सामाजिक विकास तथा वातावरण संरक्षण नेपाल,Social Development and Environment Society Nepal,,Gitanagar-4,,,,,,,
Chitwan,शरण युवा पार्क,Saran Youth Park,,Mangalpur-9,,,,,,,
Chitwan,हरैया युवा क्लब,Haraiya Youth Club,,Sharadanagar-3,,,,,,,
Chitwan,स्थानिय स्वरोजगार केन्द्र,Sthaniya Swaorajgar Kendra,,"Ratnanagar-1, Chitwan",056-561593,,ssknepal@yahoo.com,,9845139348,,
Chitwan,प्रकृति तर्फ फर्क,Come Back To Nature,,Bharatpur-12,056-530473,,,,,,
Chitwan,हिमालयन फाउन्डेशन सोसाइटि नेपाल,Himalayan Foundation Society Nepal,,Patihani-2,,,foundation_himalayan@yahoo.com,,,,
Chitwan,चौतर्फी विकास समाज,Chautarphi Development Society,,Chainpur-9,,,,,,,
Chitwan,थारु महिला कल्याण संस्था,Tharu Women Welfare Organization,,Patihani-5,529443,,chanchal_urbashi@yahoo.com,,,,
Chitwan,सेतो गुराँस बालबिकास सेवा,Seto Gurans Child Development Service,,Bharatpur-11,11521544,,,,,,
Chitwan,दलित अध्ययन अन्वेशन केन्द्र– नेपाल,Dalit Studies And Research Centre Nepal,,Bharatpur-10,056-528259/056-524959,,,,,,
Chitwan,यातायात वहुउद्देश्यीय जनसेवा केन्द्र,Transport Multipurpose Public Service Center,,"Bharatpur-3, Chitwan",056-523989,,,,9845024433,,"Yatayat Management, Illiterate Community"
Chitwan,प्रकृति तथा वातावरण संरक्षण समाज नेपाल ,Society for Nature and Environment Conservation Nepal,,"Ayoudhyapur-5, Chitwan",056-693091,,,,9845440175,,"Drinking water and Sanitation, income generation, Conservation of Environment"
Chitwan,,,,,,,,,,,
Chitwan,सिर्जनशील हातेमालो समाज ,Srijanshil Hatemalo Samaj,,"Madi,Kalyanpur-4",,,,,9845150095,,
Chitwan,धौलागिरी क्लव ,Dhaulagiri Club,,Kalyanpur-4 Madi,,,,,,,
Chitwan,स्वास्थ्य शिक्षा र सामाजिक विकास ,Health Education and Development Society,,"Ratnanagar-1, Sauraha chok",9725648300,,info@headsnepal.org.np,www.headsnepal.org.np,9845108050,,
Chitwan,सहयोगी महिला विकास प्रतिष्ठान ,Co-operative Women Development Foundation,,"Ratnanagar-2,Tandhi",056-561471,,,,9845080360,,"Selfemployment through training in health, education"
Chitwan,डेभेलपमेन्ट एक्सचेन्ज सेन्टर नेपाल ,Development Exchange Centre Nepal,,"Bachhauli-6,Sauraha",056-580075,,infocdr@wlink.com.np,,,,"Good Governance, Socio-economic Transformation,Participation of women in Politic"
Chitwan,स्टार स्पोर्टस क्लव ,Star Sports Club,,"Gardi VDC Ward no. 8,Birewa",056-693128,,,,9845390204,,Sportship and Public Awareness
Chitwan,किसान जागृति समूह ,Kishan Jaanjati Group,,"Gardi-8, Birewa",,,,,9845363223,,
Chitwan,दियो युवा क्लव ,Diyo Youth Club,,"Ayoudhyapur, Madi",056-621194,,,,9845398618,,
Chitwan,महिला केन्द्रित संरक्षण विकास समाज ,Women Centered Conservation and Development Society,,Bachouda-3,056-694025,,,,,,
Chitwan,धैलागिरि यूवा क्लब ,Dhaulagiri Youth Club,,"Madi,Kalyanpur, Chitwan",056-620310,,,,9845084251,,
Dhading,मानवीय स्रोत बिकास तथा परिचालन केन्द्र,Human Resource Development and Utilization Centre,,Benighat-1,,,,,,,
Dhading,महिला जागरण तथा बिकास केन्द्र,Women Awareness and Development Centre,,Benighat-1,,,,,,,
Dhading,सामुदायिक बिकास केन्द्र,Community Development Centre,,Baireni-9,,,,,,,
Dhading,वातावरण र जनस्वास्थ्य सरोकार क्लब,Environment and Public Health Concern Club,,Nilkantha-5,,,,,,,
Dhading,वन तथा वातावरण संरक्षण समाज,Save The Forest and Environment Society,,Nilkantha-5,,,,,,,
Dhading,एकिकृत सामुदायिक बिकास केन्द्र,Integrated Community Development Centre,,Nilkantha-5,,,,,,,
Dhading,जनहित युवा क्लब,Public Welfare Youth Club,,"Nalanga-5, Dhandinbesi",,,,,,,
Dhading,महिला तथा बाल बिकास समाज,Women and Child Development Society,,Benighat-1,,,,,,,
Dhading,मितेरी युवा क्लब (समाज),Friendly Youth Club Society,,Nilkantha-9,,,,,,,
Dhading,लाङ्गघाली युनेस्को क्लब,Langhali UNESCO Club,,"Salang-9, Gauthale",,,,,,,
Dhading,महिला सचेतन केन्द्र,Women Awareness Centre,,"Nilkantha-5, Dhadingbesi",,,,,,,
Dhading,हातेमालो युवा क्लब,Hatemalo Youth Club,,"Pinda-2, Ghatbesi",,,,,,,
Dhading,फ्रेण्ड्स बुलजिम सेन्टर,Friends Bullgym Centre,,Nilkantha -5,,,,,,,
Dhading,महांकाल युवा क्लब,Mahankal Youth Club,,Tarsap-3 MajhaDanda,,,,,,,
Dhading,नारी जागरण केन्द्र,Nari Jagarna Kendra,,Nilkantha-5,,,,,,,
Dhading,सप्तकन्या युवा क्लव,Sapta Kanya Youth Club,,Murali Bhanjyang-5,,,,,,,
Dhading,दुर्घटना पिडित उद्धार संघ,Accident Victim Relief  Association,,Bhumesthan-6,,,,,,,
Dhading,निंगालपानी युवा क्लव,Ningalpani Youth Club,,Murali Bhanjyang-7,,,,,,,
Dhading,चन्द्र ज्योती एकिकृत ग्रामिण विकास समाज,Chandra Jyoti Integrated Rural Development Society,,Mahadev Besi-3,,,,,,,
Dhading,प्रयत्नशिल सामुदायिक विकास समाज,Effortable Community Development Society,,Nilkantha-5,,,,,,,
Dhading,सामाजीक परिचालन तथा आकस्मिक सहयोगका लागी युवाहरुको समुह,Youth Association For Social Mobilization and Accidental Rescue,,"Baireni, Masatar-7",,,,,,,
Dhading,भु.पु. कल्याण मञ्च,Bhu Pu Kalyan Forum,,"Salyantar-8, Aarughat",,,,,,,
Dhading,सलाङ यूवा समाज,Salang Youth Society,,"Salang-4, Basanti",,,,,,,
Dhading,त्रिवेणी यूवा समाज,Tribeni Youth Society,,Salang -3,,,,,,,
Dhading,जलदेवी यूवा क्लव,Jal Devi Youth Club,,Maidi-2,,,,,,,
Dhading,भेदभाव रहित महिला समूह,Non Discriminative Women Group,,Nilkantha-5,,,,,,,
Dhading,सामाजिक वातावरण संरक्षण केन्द्र नेपाल,Social Environment Control Centre,,"Kalleri-7, Baireni Bazar",,,,,,,
Dhading,जयन्ती यूवा क्लव,Jayanti Youth Club,,"Nilkantha-1, Pauwa",,,,,,,
Dhading,जगत ज्योती युवा क्लब,Jagat Jyoti Youth Club,,"Maidi-7, Satobato",,,,,,,
Dhading,श्रोत पहिचान तथा व्यवस्थापन समाज–नेपाल,Resource Identification and Management Society,,Gajuri-1 ,,,rimsnnepal@yahoo.com,,,,
Dhading,सामुदायिक उत्थान पद्दतीका लागि मञ्च,Forum for Community Upliftment System ,,Nilkantha-5,010-520022,,erchhatkuli@yahoo.com,,,,
Dhading,प्यालदोर हिमाल विकास क्लब,Pyaldor Himal Development Club,,Timling-4,,,,,,,
Dhading,चेतनशील महिला समाज,Awareness Woomen Society,,Nilkantha-5,,,,,,,
Dhading,एकीकृत ग्रामीण विकास समाज नेपाल,Integrated Rural Development Society,,Nilkantha-5,010-520272,,,,,,
Dhading,मानवीय विकास तथा श्रोत व्यवस्थापन नेपाल,Human Development and Resource Management Nepal,,Nilkantha-5,,,,,,,
Dhading,धादिङ्ग विकास मञ्च,Dhading Development Forum,,Nilkantha-5,520434,,laxman_kc@hotmail.com,,,,
Dhading,तयुस ग्रामिण विकास तथा वातावरण संरक्षण मंच,Tayus Rural Development and Environment Conservation Forum,,"Sunaulo Bazar-7, Tallo Besi",,,,,,,
Dhading,सामुदायिक ग्रामिण विकास मञ्च नेपाल,Community Rural Development Forum Nepal,,Nilkantha-5,,,,,,,
Dhading,मोहोरिया सेल्फ–हेल्प ग्रुप,Mohoriya Self Help Group,,Benighat-4,010-529163,,,,,,
Dhading,आवाज अभियान–नेपाल,Voice Campaign Nepal,,Nilkantha-5,520049,,,,,,
Dhading,समाज कल्याण तथा व्यवस्थापन नेपाल (स्वयम्),Social Welfare and Management Nepal ,,Kiranchowk -3,010-520544,,,,,,
Dhading,साँघुटार समाज सुधार समिति,Sanghutar Society Improvement Committee,,Murali Bhanjyang-2,520442-520316,,,,,,
Dhading,परिवर्तनका लागि प्रतिवद्ध समाज नेपाल (पप्रस),Committed Society for Change Nepal,,Nilkantha-5,520304,,,,,,
Dhading,श्री नृवेश्वर सामाजिक सेवा समिति,Shree Nribeswor Social Service Committee,,Naubesi-7,,,,,,,
Dhading,श्री मच्छिन्द्र पूर्व विद्यार्थी मञ्च,Shree Machchhindra Ex Student Forum,,Naubesi-7,,,,,,,
Dhading,न्यू एक्टिभिटिज क्लव,New Activities Club,,Naubesi-4,9841243315,,,,,,
Dhading,आस्था नेपाल,Astha Nepal,,Nilkantha-5,,,,,,,
Dhading,श्री आदर्श सामुदायिक विकास समाज ,Shree Aadarsh Community Development Society,,Nilkantha-5,010-520513,,,,,,
Dhading,हिमालय सामुदायिक मुक्ति कार्यक्रम ,Himalayan Community Salvation Program,,Nilkantha-5,,,,,,,
Dhading,आकाशगंगा असल शासन क्लव,Aakash Ganga Good Governance Club,,Kalleri-5,16219531,,,,,,
Dhading,पशुपति आदर्श युवा समाज ,Pasupati Aadarsh Youth Society,,Sankos-3,,,,,,,
Dhading,परिवर्तन अभियान नेपाल ,Paribartan Abhiyan Nepal,,Katunje-8,16222949,,,,,,
Dhading,सहभागितात्मक परिवर्तनको लागि ग्रामीण जागरण संस्था ,Participatory Revolution For Rural Awareness Assocition  ,,Gajuri-1 ,9841486805,,,,,,
Dhading,सहयात्री समाज धादिङ्ग,Sahayatri Samaj Dhading,,Nilkantha-5,,,,,,,
Dhading,बच्छला परोपकार युवा क्लब ,Bachchhala Paropakar Youth Club,,Kumpur-5,,,,,,,
Dhading,"स्वास्थ्य, शिक्षा तथा वातावरण संरक्षण समाज नेपाल ","Health, Education and Environment Protection Society Nepal",,Mulpani-2,010-690101/010-690036,,,,,,
Dhading,जनहित समाज ,Public Welfare Society,,Benighat-1,,,,,,,
Dhading,को–अपरेटिभ युथ अर्गनाइजेशन नेपाल ,Co-operative Youth Organization Nepal,,Benighat-8,,,,,,,
Dhading,प्रकृति युवा समाज ,Nature Youth Society,,Nilkantha-5,9841668533,,,,,,
Dhading,ज्वलन्त सामुदायिक विकास समाज ,Jwalanta Community Development Society,,Murali Bhanjyang--1,9841641716,,,,,,
Dhading,दिगो विकासको लागि समुदायको कार्ययोजना  ,Community Lead Action Plan for Sustainable Development ,,Nilkantha-5,9841641746,,,,,,
Dhading,फेथ फाउण्डेशन नेपाल ,Faith Foundation Nepal,,"Nilkantha-5, Bagaletar",010-520472,,babin.bam@faithnepal.org,,,,
Dhading,शितल समाज,Sheetal Samaj,,"Nilkantha-5, Sheetalbazar",010-520632,,uttam038@yahoo.com,,,,
Dhading,दलित उत्थान समाज नेपाल ,Dalit Rising Up Society Nepal,,"Thake-3,Mahadevbesi",9849001165,,,,,,
Dhading,सामाजिक रुपान्तरण नेपाल ,Social Transformation Nepal,,"Nilkantha-5, Sheetalbazar",9841317789,,netrapaudel@yahoo.com,,,,
Dhading,डाँफे कस्तुरी युवा क्लब ,Danfe Kasturi Youth Club,,"Lapa-8, Khading",010-520297,,,,,,
Dhading,सृजनशील सामुदायिक विकास समाज ,Sirjenshil Community Development Society,,"Khari-6, Danda Gaun",9841642105,,,,,,
Dhading,चौतारा छार प्रगतिशील युवा क्लव ,Chautara Chhar Pragatishil Yuwa Club,,Semjong-4,16221642,,,,,,
Dhading,सामुदायिक पुस्तकालय ,Community Library,,Murali Bhanjyang -3,010-520581,,,,,,
Dhading,सामुदायिक जागरण मञ्च नेपाल ,Community Awareness Forum Nepal,,"Dhola-5, Sadha Bhanjyang",9741059133,,,,,,
Dhading,सूर्योदय साँङ्गितिक समूह ,Suryodaya Musical Group,,"Salang-9, Gauthale",9841197594,,,,,,
Dhading,दतिल सशक्तिकरण र सामुदायिक विकासका लागि अभियान नेपाल  ,Campagin for Dalit Empowement and Community Development Nepal,,Nilkantha-5,9841641961,,nepalirb@yahoo.com.np,,,,
Dhading,पंडित पौवा समाज सुधार संस्था ,Pandit Pauwa Social Improvement Organization,,"Kewalpur-1, Panditpauwa",,,,,,,
Dhading,सदाबहार युवा क्लव ,Sadabahar Youth Club,,"Darkha-8, Dharna",9741086843,,,,,,
Dhading,नेपाल भूमिहीन व्यवस्थापन संघ ,Nepal Landless Management Association,,Nilkantha-5,9841624542/010-520436,,,,,,
Dhading,शिद्ध समाज सेवा नेपाल ,"Shiddha Social  Service,Nepal ",,"Nalanga-1, Patle",010-692067,,,,,,
Dhading,दलित सेवा संघ जिल्ला शाखा धादिङ,Dalit Welfare Organization ,,Nilkantha-5,010-520074,,,,,,
Dhading,नमस्ते युवा क्लव ,Namaste Youth Club,,"Lapa-1, Kapurgaun",994100116/994100117,,,,,,
Dhading,बैदेशिक रोजगार राहत संघ,Foreign Employment Relief Assocition Nepal,,Nilkantha-5,9849192611,,uttam03@yahoo.com,,,,
Dhanusha,जम्काभेट पुस्ताकालय,Jamkavet Library,,Lalgadha-9,,,,,,,
