Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
AllianceAgainst Trafficking in Women and Children in Nepal,"National levelcapacity building workshop on ""Effective Implementati on ofNational Plan of Action (NPA)against Trafficking"" bystakeholders.",Kathmandu,"Enabling StateProgram (ESP), Sanepa, Lalitpur.","567,840.00",,Humantrafficking/Right
AllianceAgainst Trafficking in Women and Children in Nepal,Advocacyagainst human trafficking,Kathmandu& Kaski,"Free the Slaves(FTS), USA.","2,006,532.00",,HumanTrafficking
Alliance forpeace,Mobilizingyouth for peace and reconciliation through organizationa l capacity building ofthe locally existing youth peacecouncil.,"Kailali,Banke, Chitwan & Makawanpur.","GIZ, Kathmandu,Giz-nepal@giz.de","2,674,000.00","88,000.00",Peacebuilding
Alliance forPeace,"Strategicframework and operational plan, 2009","Jhapa, Ilam,Sunsari, Dolakha, Bara, Dhading, Tahanun, Palpa, Rupandehi, Rolpa, Rukum, Bardiya, Kailali, Kanchanpur& Kathmandu.","DANIDAHUROU,Kathmandu.","2,276,000.00",,Women
Alliance forPeace,Capacitybuilding measures youth peace councils through workshop on vision peaceful and non-violent future and peace events.,Ilam & Jhapa,"GIZ, Kathmandu,","2,515,500.00","30,000.00",Peacemaking
Alliance forPeace,Buildingcapacity of youth of combating Gender Based Violence (GBV),"Kailali,Rolpa, Rupandehi, Sunsari & Sarlahi.","Enabling StateProgram (ESP), Kathmandu.","9,274,913.00",,Women
AllianceSociety Nepal,ShreeSunchhaya Primary School building project.,Dhading,"The GlobalCommunity forEducation, USA.","3,749,300.00","410,000.00",Education
Allow theChildrenNepal,Buildingconstruction.,Chitwan,"Allo th Children,USA,","23,500,000.00","40,276.71",Child home
Amda - Nepal,"Researchstudy ""on acceptability and use of female condoms among couples in the Bhutanese refugee camp"".",Jhapa &Morang,"United NationsPopulation Fund(UNFPA),Lalitpur. Registry- np@unfpa.org.","1,226,617.00",,Health(Research)
AmnestyInternational Nepal,DemandDignity (Maternal health and sexual and reproductive rights).,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","1,242,883.00",,Health/Women
AmnestyInternational Nepal,Defendingright of the nepalese migrant workers.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","1,395,000.00",,Human right
AmnestyInternational Nepal,"Ensure truth,reparation and justice.",Kathmandu,"AmnestyInternational's International Secretariat, Uk.","425,000.00",,Human right
AmnestyInternational Nepal,Internationalsolidarity campaign.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","2,330,000.00",,Human right
AmnestyInternational Nepal,Enhancingcampaigning expertise.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","2,318,000.00",,Human right
AmnestyInternational Nepal,Strengthening Growth.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","3,748,500.00",,Human right
AmnestyInternational Nepal,Governingeffectively.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","3,652,000.00",,Human right
AmnestyInternational Nepal,Program staffsupport.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","11,615,620.00",,Human right
AmnestyInternational Nepal,Officemanagement.,Kathmandu,"AmnestyInternational's International Secretariat, Uk.","2,336,230.00","2,904,770.00",Human right
AnandaSangh,Religions andsocial benefit programmes of Ananda Sangh.,"Kathmandu,Manang & Sindhupalch owk.",Different donors,"23,539,284.12","4,600,049.45",Religious
Ananta SewaNepal (As Nepal),Subsitutecare for Orphan & destitute children in Nepal.,"Kailali,Lalitpur & Tanahun.","The Serve LifeInternational, USA.","10,090,586.00",,Child
Animal Nepal,Animalnepal's donkey outreach programme.,Kathmandu& Lalitpur.,"Serve & share,Uk. serveandsharehol land@gmail.com","3,395,470.00",,Animal
Animal Nepal,Kathmanduanimal rescue program and working equines outreach program.,Lalitpur,"1. DonkeySanctuary, UK, 2. Serve And Sare, Netherland. 3. Brigitte Bardot Foundation, France. 4. Help Animal India, Inida. 5. Animal Aid Abroad Inc., Australila. 6. Human Society International, USA. 7. Mayhew International, UK.","6,907,550.00",,Animal
AntenaFoundation Nepal,Engaging inconversation about federalism through community -,Lalitpur,"NationalEndowment for Democracy (NED), USA.","2,000,000.00",,Media
AntennaFoundation Nepal (AFN),Health forLife.,Lalitpur,Health forLife/USAID,"13,961,672.00",,Health
AntennaFoundation Nepal (AFN),Engaging in aConversation about Federalism through Community - Based Radio,Lalitpur.,"NationalEndowment for Democracy (NED), monad@ned.org, Ph: (202)378-9700, Fax: (202)378-9407 www.ned.org","2,000,000.00",,Media
AntennaFoundation Nepal (AFN),Civil societyinitiatives more effectively contribute to transparent electoral processes.,Lalitpur.,"InternewsNetwork, USA.","8,138,956.00",,Election
AntennaFoundation Nepal,Researchprogram on girls trafficking.,Lalitpur,"Graphic VoicesStan-ford University, Vanderbilt University, USA.","659,401.00",,Media(Research)
AnugrahaSamudayek Bikash Nepal,Literacyproject.,"Laitpur,Kathmandu, Bhaktapur, Ramechhap, Sindhuli, Udayapur, Mahottarai, Rupandehi & Rolpa.","PMU INTERLIFE,Sweden.","5,008,477.00",,Women/Child
Apanga SweaSangh.,Buildingconstruction of disable friendly home.,Lalitpur,"Jylag Foundation,Switzerland.","8,300,000.00",,Disable
ApostlesChildren Home Nepal,"Amababubihin, asahaya, garib, Rogi tatha sadak balbalikaharu ko kshikhsyadik hsya, swasthya upachar ra palan posan garne karyakram.",Banked,"Lee Soon Wha,Apostles Korea Church, sh1501@hanmail.net","3,300,000.00",,Child
Asal Chhimekee Nepal (CAN),Health and community development,Kaski &Nawalparasi.,"a. Christian Reformed Churches, Netherlands, b. Shanit Trust, UK, c. TEAR Australia, Australia, d. Help for Nepal, Netherland, e. SIM (Serving InMission), Nepal, f. The Corinthian Trust.",8013000,"1,902,994.00",Health(HIV/AIDS)
Asha Nepal,DevelopingIndividual's Acceptance (DIA).,Kathmandu,"World ChildhoodFoundation, Sweden.","2,412,000.00",,Women/Child
AshahOrphanage,Child home.,Kathmandu,FoundationAshanOrphanage.,"3,652,816.00",,Child home
Ashish ChildWelfare Home,Ashish ChildWelfareHome.,Lalitpur,"BCWH supportteam Germany FREUNDE NEPALS e.v., Germany.","111,960.00",,Child home
Asia MediaForum Nepal,ElectionEducation forJournalists,Kathmandu,"ESP/DFID, KiranBhawan, Sanepa, Kathmandu, Tel:5535010, Fax:5555766, Email: mail@esp- nepal.com, web: www.esp- nepal.org.np, www.rdif.org.np","8,902,940.00",,Communication
Asia MediaForum Nepal,Electioneducation for journalist.,"Kailali,Banke, Kaski, Morang & Kavre.","DFID, Nepal.","1,982,843.00",,Journal
Asia MediaForum Nepal,"Mediaadvocacy on forest, forest fair and climate change in Nepal.","Kailali,Banke, Kaski, Morang & Kavre.","Multi SrickholderForestry Programme (MSFP), Nepal.","993,650.00",,Journal
AsianResource Foundation Nepal,Scholarshipto the needy children studying in,"Kathmandu,Syangja, Kapilvastu & Nawalparasi.","Asian ResourceFoundation, International, Bangkok.","743,350.00",,Education
Asmitawomen's Publishing House Meida& Resource Organization (ASMITA),Mdifefdia  tmonitoring & advocacy for gender equality.,Kathmandu,"The WorldAssociation for Christian Communication (WACC), Canada.","1,427,250.00","84,000.00",Women
Association forthe Protection of Children (APC - Nepal),Developmentand durable consolidation of a project to rescueprotect andeducate most,"Kathmandu,Kaski, Dhading & Nuwakot.","AssociationPomme Cannelle, France. info@pommecan nelle.org.","11,384,176.00
13",,child
Association forTheological Education in Nepal (ATEN),Highertheological education in Nepal.,Kathmandu,"a. Interact Asia,Sweden and Thailand. b. Evangelical Lutheran Church of America, USA c. Ulting Overseas Trust, UK.","905,700.00","1,775,836.00",Education
Association ofNepalese Indigenous/Nat ionalities,Indigenousvoice in Asia.,Kathmandu,"Asia IndigenousPeople Pact(AIPP), Thailand.","9,398,940.00",,Indigenous
Association ofPolitical Science Students (APSS),"Promotininformed policy dialogue on migration, remittance and development in Nepal: Project concept for study and policy actiions.",Kahtmandu,"InternationalLabour Organization (ILO), Lalitpur.",2957300,"777,500.00",Research
Autism CareNepal,"Autism care,support and capacity building program.",Kathmandu.,"Health CareNepal, USA. And Gerda Maria Pauler, Norway. www.gerdapauler. info;www.greathi malayatrail- charitywalk.com.","3,439,686.05","695,832.00",Health/Child
Autism CareNepal,Increasedaccess of persons with autism to education and social security in Nepal.,Kathmandu,1. SwedishHemophilia Society (FBIS). 2. Swedish Autism and Asperser Association (SAAA). 3. Swedish Association of Visually Impaired Youth (US). 4. Swedish National Association of Parents of persons with Intellectual Disabilities (FUB_ Orebro Branch.,"2,879,808.63",,Child/health
Autism CareNepal,Mini projecton autism awareness in Nepal.,Kathmandu,"Autism Denmark,Heidi@autismefor ening.dk, wwww.autimsefor ening.dk","2,863,770.40",,Health(autism)
Awana ClubNepal (CAN),Officebuilding construction.,Lalitpur,"AwanaInternational, USA.","20,184,000.00","442,233.00",Child
Awana ClubNepal,Holistic childdevelopment program.,"Morang,Udayapur, Sindhupalch owk, Rasuwa, Sunsari, Bara, Dadeldhura, Kailali, Sindhuli, Lalitpur, Bhaktapur, Palpa, Tanahun, Kavre, Jajarkot, Kanchanpur, Dailekh, Nawalparasi, Bardiya, Surkhet & Gulmi.","AwanaInternational, USA.","13,613,800.00","2,649,200.00",Child
Bachi AmaaFoundation,BachiAmaaFoundation.,Lalitpur,"BachiAmaaFoundation, TheNetherlands.","1,954,544.20",,Child home
Bajra SamajNepal,Agrocultureand veterinary training.,Ramechhap,Friends of NepalPariwar Foundation. tarens@sonic.net,"156,500.00","2,400.00",Women/animal
BanLandmines Campaign Nepal,"MobilizingNepal's youth& n-peace netwrok in women, peace & security.",Kathmandu,UNDP Nepal.,"477,660.00",,Women
BaudhaBahunipati Welfare Project Pariwar,"a. SamudayikPrajanan Swastha, Khanepani tatha sarsaphai. B. Khaddhe Surakshya tatha jibikoparjan.",Kavre &Sindhupalch owk.,"Friends of NepalPariwar Foundation, USA, tarens@sonic.ne& Groundswell Internal, USA, www.groundswelli nternational.oreg","2,548,904.00","212,683.00",Health/Drinking water/Food security
Bear Research& Conservation Nepal (BRCN),"Cameratrapping survey for clouded leopard, leopard and asiatic black bears in Nepal.",Rasuwa,"WildCRU,University ofOxford, UL.","3,716,855.10",,Animal
BetterfeltWelfare Nepal,Childreneducation and health care program of theworkers ofBetterfelt NP.,Kathmandu,"Green Comfort A-S, Denmark.","1,420,250.00",,Child
Beyond -Nepal,Menstruationhygiene education for school girls project 2.,Bara &Parsa.,"Korea Fund forSouthern CSOs, KOICA Nepal Office, Nepal.","5,497,910.00","369,930.00",Education
Beyond BeijingCommittee (BBC),"Strengthening the Networking, Knowledge Management andAdvocacy Capacity of an Asian- Pacific Network for Sexual and Reproductive Health.",Lalitpur,"Asia-PacificResources and Research Center for Women, Malaysia (ARROW)","633,600.00",,Health
Beyond BeijingCommittee,Universalaccess to sexual and reproductive health right (SRHR).,Lalitpur,"Asia Pacific Resources and Research Centre for Women, Malaysia (ARROW). Www.arrow.org. my, arrow@arrow.org. my","1,056,000.00",,Health rightadvocacy
Bhawi Nepal,Educationsupport program.,Kathmandu& Dolpa.,"Schulverein LoManthang, Switzerland.","3,994,200.00",,Edcuation
Bikalpa GyanTatha Bikash Kendra Nepal,"Bikalpaalternative education program for children, women empowermen t and peace education.","Kathmandu,Lalitpur & Bhaktapur.","PARTAGE,France.","11,019,000.00",,Equation/Child
Bikalpa,Cross-borderearly warning system in Nepal.,Nawalparasi,"Lutheran WorldRelief, Kathmandu, npm.lwr@lwf.org. np","1,569,645.00",,Community development
Bikas Nepal,Enhancingquality education through proper implementati on of Continous Assessment System (CAS) and improvingaccountability.,"Parsa,Rautahat, Makawanpur& Bara.","Foundation ofOpen Society Institute (FOSI), Switzerland.","1,158,625.00",,Education
Bikash Nepal,Basic healthstaff training.,Kaski,"German Leprosyand T.B. Relief Association, Germany.",4427000,"885,400.00",Health
Bikash Nepal,DevdahaCBR project.,Rupandehi.,"SasakawaMemorial Health Foundation (SMHF), www.smhf.or.jp/e smhf@tnfb.jp","1,497,000.00","150,000.00",Disable
Birat NepalMedical Trust (BNMT/N),OfficeManagement,Kathmandu,"Britain- NepalMedical Trust(BNMT/UK),","2,353,950.00",,Health
BirdConservation Nepal,Integratinglivelihoods development and biodiversity conservation at priority sites forbiodiversity inNepal.,"Jumla,Mugu, Kailali and Bardiya.","NorwegianOrnithological Society (NPF), Norway.","20,100,000.00",,Biodiversity
BirdConservation Nepal,Conservingcritically endangered bengal florican; a terai flagship species.,"Morang,Sunsari, Chitwan, Kanchanpur& Bardiya","Royal Society forthe Protection of Birds (RSPB), UK.","3,819,000.00",,Animal
BirdConservation Nepal,Rurallivelihoods and climate change adaption in the himalayas.,Udayapur,"ICIMOD, Lalitpur.","7,408,800.00",,Environment
BirdConservation Nepal,"Protectingthe critically endagered vultures of Suklaphanta Wildlife Reserve and Kailali District, Nepal through community based intergrated approaches.",Kailali &Kanchanpur.,"Rufford SmallGrantFoundation, UK.","939,840.00",,Bird
Blessing ChildWelfare Home,Blessing childhome.,Lalitpur,BCWH SupportTeam Germany.,"105,033.00",,Chil home
Blessing ChildWelfare Home,BlessingChild WelfareHome,Lalitpur,"Brigitte Schindler,Australia.","398,070.00",,Child home
Blessing ChildWelfare Home,BlessingChild WelfareHome,Lalitpur,BCWH supportteam Germany FREUNDE NEPAL e.V.Germany.Blessingchildrenw elfarehome@gma il.com,"106,744.00",,Child home
Blessing ChildWelfare Home,BlessingChild WelfareHome.,Lalitpur,"Brigitte Schindler,","124,350.00",,Child home
Blessing ChildWelfare Home,BlessingChild WelfareHome.,Lalitpur.,BCWH SupportTeam Germany.,"95,872.00",,Child home
Blue DiamondSociety,Capacity building of sexual and gender minorities for a stronger advocacy to ensure their rights.,"Kathmandu,Jhapa, Sunsari, Rautahat, Bara, Chitwan, Rupandehi, Nawalparasi, Kaski, Bank, Bardiya, Kailali & Kanchanpur.","Enabling State Program, Lalitpur.","6,805,061.00",,Health(HIV/AIDS)
Blue DiamondSociety,"HIV clinic,hospice and care centre for MSM/MSW/PlWHA.","Kathmandu,Chitwan, Kailali, Morang & Rupandehi.","Sisaction, France.","3,150,000.00",,Health (HIV/AIDS)
Blue DiamondSociety,Pinkhimalayan resources centre to service as hub for cutting edge and timely research on challenges and opportunities facing the sexual and gender minrity community.,Kathmandu,Embassy ofUnited State ofAmerican.,"1,247,400.00",,Gender
Blue DiamondSociety,TOT and Toolkit on SOGI for high school teachers.,"Kathmandu,Chitwan, Kailali, Morang & Rupandehi.","World Bank,USA.","3,914,730.00
22",,Health(HIV/AIDS)
Blue DiamondSociety,SAHRANepal.,Kathmandu.,"The NorwegianLesbian, Gay, Bisexual and Transgender Organization (LLH),","2,193,633.00",,Humanrights
Blue DiamondSociety,Advocacycampaign to promote government implementati on of recent Supreme Court decisions.,"Kathmandu,Chitwan, Kailali, Morang & Rupandehi.","Open SocietyInstitute, Switzerland.","4,500,000.00",,Humanrights
Blue DiamondSociety,Reducing the impact of HIV on men who have sex with men and transgender populations in South Asia.,Kathmandu.,"Global Fund UNDP Asia- Pacific Regional Centre, UN","28,896,379.12",,Health(HIV/AIDS)
Blue DiamondSociety,"Care, support program for MSM/TG living withHIV in Nepal.","Kathmandu,Chitwan, Kailali, Morang & Rupandehi.","Sidaction,France.","3,175,000.00",,Health (HIV/AIDS)
Blue DiamondSociety,SAHARANepal.,Kathmandu,"The Norwegianlesbian, Gay, Bisexual and Transgender Organisation (LLH),","3,030,940.00",,Humanrights
BrahmasthaniAwareness Society (BAS),BiramiAsharm Sanchalan Karyakarm.,Kathmandu,"BrahmasthaniAwarenessSociety inSweden, Sweden.","1,900,000.00",,Health
Build OnNepal,informaleducation program & school building construction,"Kailali,Kanchanpur, Bardiya, Banke & Dang.","Build On, USA.","35,978,465.00",,Education
BungamatiFoundation Nepal,"Childeducation support, school management support and early childhood development programme.",Lalitpur,"BungamatiFoundation Nepal, Bungamati, The Netherlands.","3,250,000.00","165,250.00",Education
Burn Violence:Positive Prevention,"MedicalSurgery, Burn survivors and nutrition support programme.",Kathmandu,"Wendy Marston,Herrods Fund, UK.","1,833,834.00",,Health
Burns ViolenceSurvivors (BVS-Nepal),Medical &surgery support to the burn survivors.,"Kathmandu,Lalitpur & Bhaktapur.","Wendy Marston,Herrods Fund, Rangjung Yeshe Shenpen, UK","4,782,017.83",,Health
Campaigainfor Human Rights and Social Transformatio n,Socialaccountbility in Local Governance in Nepal.,"Dhading,Gorkha & Pyuthan.","Integrity Action,UK, www.integrityactio n.org, siobhan.oshea@i ntegrityaction.org.","2,913,900.00","60,000.00",Humanright/social accountabili ty
Campaign forEducation (CE),Campaign forEducation(CE).,"Chitwan,Dolakha, Kathmandu, Lalitpur, Banke, Sunsari & Sindhupalch owk","NepaleseChildren Education Fund (NCEF), USA.","1,066,000.00",,Education
Care for All -Nepal,Womenliteracy program.,Kaski,Foundation CareFor All - TheNetherlands.,"208,600.00",,Education
Caritas Nepal(CN),Cooperativedevelopment and enterprise promotion project.,"Kanchanpur,Bardiya, Kailali, Banke, Nawalparasi, Kavre & Lalitpur.","Caritas Australia,www.caritas,org.a u, email: caritas@caritas.o rg.au","26,400,000.40",,cooperativeand enterprise
Caritas Nepal(CN),Support forSecondary Education of Bhutanese Refugee Education Program (PREP).,Jhapa.,"Caritas Australia,www.caritas,org.a u, email: caritas@caritas.o rg.au","3,397,877.86",,Child/Education
Caritas Nepal,Support forsecondary education of Bhutanese Refugee Education Program (BREP).,Jhapa,Caritas Germany.,"2,595,584.00",,Education
Caritas Nepal,Floodrecovery program Nepal 2013.,"Kanchanpur,Bardiya, Nawalparasi& Dailekh.","1. Catholic ReliefServices, USA. 2. Caritas New Zeeland. 3. MISEREOR, Germany. 4. Caritas Germany.","8,875,000.00",,Floodvictims
Caritas Nepal,"Disaster riskreduction program in Mohottari, dhanusha and Udayapur District.","Mohottari,dhanusha & Udayapur","Caritas,Geramany.","12,500,000.00","5,488,000.00",Disastermanageme nt
Caritas Nepal,Support andskill development for the people with disability at Bhutanese Refugee Camps.,Jhapa,"Foundation Dark& Light, Netherlands.","1,551,539.00",,Edcuation
Caritas Nepal,Nepal incooperative enterprise (NICE).,"BaitadiSurkhet, Dang, Kaski& Syangja.",Caritas AotearoaNew Zeeland.,"29,245,100.00",,Incomegeneration
Caritas Nepal,Developingfoundation for Caritas Nepal for proactive implementati on of future disaster management projects.,"Bara,Rautahat, Mahottari, Dhanusha, Kapilvastu, Rupandehi, Nawalparasi, Bardiya, Banke,Dang, Kailali& Kanchanpur.","Catholic ReliefService, USA.","8,163,742.00",,DisasterManageme nt
Caritas Nepal,Project tosustain the dignified life of the belgium returnees.,Lalitpur,Caritas Belgium.,"8,750,000.00",,Community development
Caritas Nepal,Support fotthe secondary education of Bhutanese Refugee Education Program (BREP).,Jhapa,"KinderMissionwerk, Germany. Www.kindermissi onswerk.de, kontakt@kinderm issionswerk.de","2,485,047.00",,Child/Education
Caritas Nepal,Assistancefor the higher secondary education of Bhutanese Refugee students in Eastern Nepal.,Jhapa,"Catholic ReliefService (CRS), USA.","665,994.58",,Child/Education
Caritas Nepal,Support fotthe secondary education of Bhutanese Refugee Education Program (BREP).,Jhapa,Secours CatholicFrance.,"1,268,458.00",,Child/Education
Caritas Nepal,Support forsecondary education of Bhutanese Refugee Education Program (BREP).,Jhapa,"Caritas Korea,Korea.","1,478,840.00",,Education
Caritas Nepal,Childdevelopment and nutrition enhancement project.,Jajarkot,"KinderMissionwerk, Germany.","16,521,850.00",,child
Caritas Nepal,Agricultureand livestock extension to small farmers and farm management Sunsari.,Sunsari,"FondazioneFratelli Dimenticati Onlus, Italy.","6,385,326.00",,Agriculture
Caritas Nepal,Mid and FarWest Nepal flood & landslide emergency appeal 2013,"Dailekh,Bardiya, Kailali & Kanchanpur.","Caritas Australia.,Caritas New Zealand., Misereor.","3,773,371.00",,emergencyresponse
Center forDemocracy and Development (Underprivileg ed Girls Education Support ProgramNepal,"Underprivileged Girls Education Support Program Nepal, (UGESP Nepal).",Kathmandu,"Little SistersFund, USA.","24,133,149.00",,Education
Center forDisabled Children Assistance,Education forchildren with physical disabilities.,"Kathmandu,Solukhumbu& Kapilvastu.","1, SAMSAL,South Korea. 2, P'tits Loups de Kathmandu, France.","1,440,000.00",,Child/Women/Disable
Center forLabour & Social Studies (Class Nepal),Online labouracademy course development and delivery on building democratic and women friendly trade unions.,Kathmandu.,"IFWEA SouthAfrica, SouthAfrica.","253,800.00",,Edcuation
Center forLabour & Social Studies (CLASS Nepal),Online labouracademy course review and delivery on building democratic and womenfriendly trade unions.,Kathmandu,IFWEA SouthAfrica.,"122,250.00",,Women/youth
Center forLegal Research and Resource Development (CELRRD),To developforensic technology and DNA analysis curriculum and orienting justice sector officials on forensic technology and DNA analysis (Grant no.31769 300 00,Kathmandu,"The AsiaFoundation, Kathmandu.","14,082,900.00",,Justice
Center forLegal Research and Resource Development (CELRRD),Womenpeace and security in Nepal.Stop Travelling Sex Offerenders in Kathmandu and Pokhara (STSO0.,Morang &Udayapur.Kathmandu& Kaski,"US Department ofState, American Embassy, Kathmandu.Terre des Hommes - Netherlands (TDH-NL), Netherlands.","8,157,400.00
6,303,195.00","2,223,301.00",women/ChildrenWomen
,,,,,,
,CTIP-Strengthenin g Victim and Witness Protection (Project no.31532.110.004),"Banke,Kachanpur, Sindhupalch owk and Kathmandu.",The AsiaFoundation/Nepal,"4,705,330.00
31",,Women
Center forPublic Health and Environment Development (CEPHED),Preparationof publication on international environment conventions to which Nepal is a party.,Kathmandu,"Strengthening ofEnvironmental Administration and Management at the LocalLevel, Nepal(SEAM Nepal).","462,000.00",,Environment
Center forPublic Health and Environmental Development (CEPHED),Anassessment of the Nepal action in management of persistent organic pollutants as identified in the Stockholm convention national implementati on plan.,Kathmandu.,"Strengthening ofEnvironment Administration and Management at the local level, Nepal (SEAM Nepal).","343,875.00",,Environment
Center forPublic Health and Environmental Development,Awarenessprogram in Nepal regarding adverse effect of lead toxicity.,Kathmandu,"Indian Society forLead Awareness& Research (InSLAR), Lucknow, India.","28,800.00",,Health/Environment
Center forResearch onEnvironment Health and Population Activities,Baselinesurvey for the adolescent developemnt and participation program of UNICEF- Nepal.,"Baitadi,Bajura, Bajhang, Achham, Doti, Humla, Kalikot, Jumla, Mugu,Dolpa, Parsa, Rautahat, Mahottarai, Dhanusha and Saptari.","PopulationCouncil, USA.","9,168,966.24",,Health
Center forResearch on Environment Health and Population Activities (CREHPA),The Globalturn away study: a qualitative study of women denied for legalabortions due to gestational age.,Kathmandu& Sunsari,"UCSF ANSIRHprogram, University of California, USA, ansirh@obgyan.u csf.edu","918,510.00",,Health
Center forResearch on Environment Health and Population Activities (CREHPA),Assessingsupply side constraints affecting the quality of adolescent friendly health services (AFHA) and the barriers for service utilization.,"Dolakha,Jumla, Bajura, Udayapur, Bhaktapur, Kaski, Pyuthan, Doti, Jhapa, Mahottari, Kapilvastu & Kailali.","United NationsPopulationsFund, Lalitpur.","4,655,262.00",,Health(women)
Center forResearch on Environment Health and Population Activities,"An end-lineassessment of the community- based project on reducing unwanted pregnancy and unsafe abortion in KailaliDistrict, Nepal.",Kailali,"IPAS,Kathmandu.","2,358,660.00",,Women/Health
Center forResearch on Environment Health and Population Activities,Brealomg thebarriers : Marginalized women and girls access safe abortion information and services in Nepal.,"Bardiya,Banke, Pyuthan, Sindhuli & Udayapur.","InternationalPlanned Parenthood Federation, UK.","15,323,055.00",,Health
