District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Baglung,गाजा यूवा क्लब,Gaja Youth Club,GYC Baglung,Baglung-2,068-520398,,gajayc@gmail.com,,,Pramananda Kandel,
Baglung,कार्य क्षेत्रमा महिला परिषद ,Women Council in Working Area,,,,,,,,,
Baglung,कालिका यूवा क्लव,Kalika Youth Club,,Baglung-2,,,,,,,
Baglung,कस्तुरी युवा क्लव ,Kasturi Youth Club,,Baglung Bajar-3,,,,,,,
Baglung,वाग्लुङ्ग युथ क्लव ,Baglung Youth Club,,Baglung Bajar,,,,,,,
Baglung,दिप ज्योती यूवा क्लव,Deepjyoti Youth Club,DYC Baglung,Baglung-2,068-520832,,dycbgl@ntc.net.np,,,Hari Prasad Sharma,"Women Empowerment, Income Generation, Good Governance, Drinking Water and Sanitation etc"
Baglung,जन जागृति युवा क्लव ,Public Awareness Youth Club,,Tityang,,,,,,,
Baglung,वाटुले सामुदायिक विकास समुह ,Batule Community Development Group,,Vimapokhara-3,,,,,,,
Baglung,जनकल्याण सामुदायिक विकास समुह,Public Welfare Community Development Group,,Bagalun-5,,,,,,,
Baglung,सीप सामुदायिक विकास समुह,Skill Community Development Group,,,,,,,,,
Baglung,पात्ले सामुदायिक विकास समुह ,Patle Community Development Group,,,,,,,,,
Baglung,शिवालय सामुदायिक विकास समुह ,Shivalya Community Development Group,,,,,,,,,
Baglung,किम्वोट सामुदायिक विकास समुह ,Kimbot Community Development Group,,,,,,,,,
Baglung,माझकोट सामुदायिक विकास समुह ,Majhakot Community Development Group,,,,,,,,,
Baglung,दलित सशक्तिकरण केन्द्र,Dalit Empowerment Center,DEC Baglung,Baglung,068-522057,,,,,Yam B. Charmakar,Empowerment and Right Based Training
Baglung,सतिपोखरी सामुदायिक विकास समुह ,Sati Pokhari Community Development Group,,Bhimapokhara-1,,,,,,,
Baglung,हिमधौलागिरी ढोरपाटन विकास युवा क्लव ,Him Dhulagiri Dhorpatan Development Youth Club,,,,,,,,,
Baglung,समुदायमा आधारित पूर्नस्थापन,Community Based Rehabilitation ,,Mahendra Path-2,068-520005,,salikram1982@hotmail.com,,,,
Baglung,फरक क्षमता भएकाहरुको राष्ट्रिय परिषद नेपाल,National Council of the Differently Able Nepal,,Baglung-2,,,,,,Amit K. C.,Disable People
Baglung,धौलागिरी एकिकृत सामुदायिक विकास केन्द्र,Dhaulagiri Integrated Community Development Centre,,Baglung-1,068-520995,,magarana@hotmail.com,,,,
Baglung,ग्रामिण श्रोत तथा संचार विकास केन्द्र,Rural Resource and Communication Development Centre,,Mahendra Path-2,068-520146,,,,,,
Baglung,परिवर्तनका लागि प्रतिबद्ध समूह,Commited Action Team for Change,CATC Baglung,Mahendra Path-2,068-520146,,paudelsangita75@yahoo.com,,,Sangita Sharma Paudel,
Baglung,सहभागितात्मक श्रोत बिकास केन्द्र,Participatory Resource Development Centre,,Baglung-2,,,,,,,
Baglung,बाल तथा महिला संरक्षण केन्द्र,Children and Women Protection Centre,,"Paiyanthanap,Jimire-5",,,,,,,
Baglung,दिगो सामुदायिक श्रोत बिकास केन्द्र,Sustainable Community Resource Development Centre,,Malika -2,068-520834,,,,,,
Baglung,सामुदायिक दिगो बिकास केन्द्र,Community Sustainable Development Centre,,Mahendra Nagar-2,,,,,,,
Baglung,आमा मिलन केन्द्र,Ama Milan Kendra,,"Baglung-3, Guthi",068-520839,,amkbjl@ntc.net.np,,,Gyanidevi Thapamagar,Social Mobilization
Baglung,मिलिजुली विकास संस्था,Unity for Development,UFD,Baglung-2,068-520426/522276,,,,,Omkar Prasad Gauchan,
Baglung,ग्रामिण जनसहभागिता बिकास केन्द्र,Rural People Participatory Development Centre,,Hungdishir-3,,,,,,,
Baglung,सेतो गुराँस बाल विकास सेवा,Seto Gurans Child Development Services,Seto Gurans,Baglung-2,068-520840,,setoguransbgl@yahoo.com,,,Bina Karki,Primary Child Development
Baglung,आत्मनिर्भर सामुदायिक विकास संस्था,Self Confidence Community Development Organization,,Mahendra Path-2,068-520846,,cycbgl@ntc.net.np,,,Sita Sharma,
Baglung,सामुदायिक उर्जा विकास तथा वातावरण संरक्षण केन्द्र,Community Energy Development and Environment Protection Centre,,Shivadhara Chowk-4,068-520291,,,,,,
Baglung,गैर सरकारी सामाजिक संस्था जिल्ला समन्वय समिति,NGO Social Oragnization Districts Coordination Committee,,Mahendra Path-2,,,,,,,
Baglung,ग्रामिण उर्जा विकास तथा वातावरण संरक्षण मञ्च,Forum Rural  Energy Development and Environment Protection Centre,,Mahendra Path-2,068-520146,,,,,,
Baglung,सृजनशिल सामुदायिक श्रोत विकास मञ्च,Creative Community Resource Development Forum,,Tityang-4,,,,,,,
Baglung,धौलागिरी सामुदायिक श्रोत विकास केन्द्र,Dhaulagiri Community Resource Development Centre,,Upalla chaur-11,068-520249,,dcrdc@ntc.net.np,,,,
Baglung,लिसार सांस्कृतिक समूह,Lisar Cultural Group,,Shivadhara Chowk-4,,,,,,,
Baglung,नव मालिका युवा क्लब,Nawa Malika Youth Club,,Mahendra Path-2,068-520831,,,,,,
Baglung,लहरेपिपल ग्रामिण विकास क्लब,Lahare Pipal Rural Development Club,,Baglung-2,068-20812,,,,,,
Baglung,स्वयंशक्ति बागलुङ्ग,Self- Enpowerament Baglung,,Baglung-2,068-520086,,shakti086@ntc.net.np,,,Baikuntha Sapkota,
Baglung,महिला हित संरक्षण समूह,Women Welfare Protection Group,,Baglung-3,520829,,,,,,
Baglung,महिला तथा बाल अधिकार सेवा नेपाल,Women and Child Rights Service Nepal,,Baglung-3,068-520106,,,,,,
Baglung,नव जागरण युवा क्लब,Nawa Jagaran Youth Club,,Baglung-2,520705,,,,,,
Baglung,उमानाथ छात्रबृति प्रतिभा पुरस्कार संस्था,Uma Natha Sholarship Organization,,Paiyupata -1,,,,,,,
Baglung,युवा मिलन क्लब,Yuwa Milan Club,,Baglung-3,,,,,,,
Baglung,कडुजे सामुदायिक विकास समूह,Kaduje Community Development Group,,Baglung-2,520410,,,,,,
Baglung,ग्रामीण श्रोत विकास केन्द्र,Rural Resource Development Centre,,Mahendra Path-2,068-520259,,,,,,
Baglung,धवलागिरी युवा क्लब,Dhawalagiri Youth Club,,vakunde-6,,,,,,,
Baglung,एकिकृत ग्रामीण विकास केन्द्र,Integrated Rural Development Centre,,Paiyupata -2,,,,,,,
Baglung,लेखानी सामुदायिक श्रोत विकास केन्द्र,Lekhani Community Resource Development Centre,,Lekhani-1,520407,,,,,,
Baglung,मितेरी युवा क्लव,Miteri Youth Club,,Pakhayar-11,068-520784,,,,,,
Baglung,एकिकृत ग्रामीण विकास केन्द्र,Integrated Rural Development Centre,,Mahendra Path-2,068-520432,,,,,,
Baglung,सुरक्षित मातृत्व नेटवर्क,Safe Motherhood Network,,"Bihu-4, hatiya",,,,,,,
Baglung,ग्रामिण कल्याण आमा समुह,Rural Welfare Mother Group,,Damek-3,520291,,,,,,
Baglung,धौलागिरी पर्यटन तथा सामाजिक सेवा केन्द्र,Dhaulagiri  Tourism and Social Service Centre,,Mahendra Path-2,068-520657,,,,,,
Baglung,धौलागिरी युवा क्लव,Dhulagiri Youth Club,,Kudule-10,068-520651,,,,,,
Baglung,कार्य क्षेत्रमा महिला,Women in Working Area,,Mahendra Path-2,068-520748,,,,,,
Baglung,धौलागिरी रामेरेखा युवा क्लव,Dhulagiri Ramerekha Youth Club,,Ramerekha-1,,,,,,,
Baglung,घुम्टे युवा परिवार,Ghumte Youth Family,,Mahendra Path-2,068-520418,,,,,,
Baglung,समाज सचेतन संस्था,Social Conscious Organizaiton,,Amala Chaur-9,,,,,,,
Baglung,हेलो नेपाल सामाजिक केन्द्र,Hello Nepal Social Centre,,Mahendra Path-2,068-520004,,hellonepalktm@hotmail.com,,,,
Baglung,बहुआयामिक सामाजिक विकास मञ्च,Multi-dimensional Social Development Forum,,Mahendra Path-2,521002,,,,,,
Baglung,ग्रामोदय सामुदायिक विकास केन्द्र,Gramodaya Community Development Centre,,Mahendra Path-2,068-520005,,,,,,
Baglung,धवलागिरी विकास केन्द्र,Dhawalagiri Development Center,CDC Baglung,Baglung-2,068-521874,,image_baglung@yahoo.com,,,Dolendra Gautam,
Baglung,सामदायिक एकता र विकासका लागि शान्ति अभियान नेपाल,Peace Expedition Nepal for Community Unity and Development ,,"Chabahil-7, Ktm",449663,,,,,,
Baglung,वलेवा युवा क्लव,Balewa Youth Club,,,,,,,,,
Baglung,जन चेतना यूवा क्लव,Public Awareness Youth Club,,Kusmisera,,,,,,,
Baglung,शैक्षिक अनुसन्धान तथा विकास केन्द्र,Educational Research and Development Centre,,Baglung-1,521036,,,,,,
Baglung,कारिकोट युवा क्लब,Karikot Youth Club,,Baglung-7,,,,,,,
Baglung,जनचेतना तथा विकास केन्द्र,Public Awareness and Development Centre,,Baglung-2,,,,,,,
Baglung,सिम सामुदायिक विकास समूह,Sim Community Development Group,,Bhimapokhara-9,068-521061,,,,,,
Baglung,लौके ढुङ्गा डाँडो खेत सामुदायिक विकास समूह,Lauke Dhunga Dando Khet Community Development Group,,Baglung-6,068-200059,,,,,,
Baglung,कालिगण्डकी युवा क्लब,Kaligandaki Youth Club,,Baglung-11,520766,,,,,,
Baglung,समाज विकास मञ्च,Social Developmet Forum,,paiupata-1,520346,,,,,,
Baglung,रोहोटे मैत्री क्लव,Rohote Maitri Club,,Jairi-3,520326,,,,,,
Baglung,नवज्योति समाज विकास केन्द्र,Nawa Jyoti Social Development Centre,,Hatiya-6,,,,,,,
Baglung,सौर्य विकास समिति,Sourya Development Committee,,Baglung-2,068-520748,,sdclekhani2004@yahoo.com,,,,
Baglung,महिला जागरण केन्द्र,Mahila jagaran Kendra,,Hatiya-3,,,,,,,
Baglung,रुद्रवती सामुदायिक स्रोत विकास केन्द्र ,Rudrawati Community Resource Development Centre,,Baglung-2,068-521922,,,,,,
Baglung,बुर्तिबाङ्ग राइजिङ्ग युवा क्लम ,Burtibang Rising Youth Club,,Burtibang-1,079-520646,,,,,,
Baglung,सामाजिक विकास केन्द्र ,Social Development Centre,,Baglung-2,,,,,,,
Baglung,करुण साहित्य समाज ,Karun Literature Society,,paiypata-1,9857620850,,,,,,
Baglung,ढोरपाटन सामुदायिक विकास केन्द्र ,Dhor Patan Community Developmen Centre,,"Bhuji, Dhorpatan-9",068-520597,,,,,Khim Bd. Gharti Magar,
Baglung,ग्रामीण महिला जागरण केन्द्र ,Rural Women Awareness Centre,,Ringha-4,9847623275,,,,,Amrit Rana,
Baglung,महिला जागरण केन्द्र ,Women Awareness Centre,,"Dagatundanda,Swarbabng",079-520520,,,,,Bishnu Maya Aryal,
Baglung,ज्ञानजयोति सामुदायिक अध्ययन केन्द्र ,Gyan Jyoti Community Learning Centre,,"Bihu-1, Suldanda",068-620297,,,,,Anil Charmakar,
Baglung,सत्कर्म नेपाल ,Right Action Nepal,RNA,"Baglung-3, Guthi",068-520839,,rightaction@gmail.com,,,Sitaram Thapa,"Human Right, Justice and HIV/AIDS"
Baglung,धवलागिरी बहुउद्देश्यीय ग्रामीण विकास केन्द्र,Dhawalagiri Multi Purpose Rural Development Centre,,"Baglung-11, Shreenagar Tole",068-522048,,,,,Dhan Bd. G.C.,
Baglung,सामाजिक अनुसन्धान तथा विकास केन्द्र,Social Research and Development Centre,,Baglung-2,068-522119,,,,,Tika Ram Gautam,
Baglung,दुर्गम स्रोत विकास केन्द्र ,Remote Resource Development Centre,,Burtibang-5,079-520664,,,,,,
Baglung,स्वास्थ्य रक्षाका लागि क्रियाशील आयुर्वेद समाज ,Health Care Action Aayurved Society ,,Baglung-2,9857620099,,,,,,
Baglung,कन्सर्न नेपाल ,Concern Nepal,,"Baglung-2, Aawa Road",068-521329,,,,,Krishan Bd. Shahi,
Baglung,स्वतंत्र भूतपूर्व सैनिक संगठन ,Free Ex-Army Organization,,"Baglung-3, Guthi",,,,,,Harka Bd. Thapa,
Baglung,बाग्लुङ नेत्रहीन संघ ,Baglung Blind Association,,"Baglung-1,Rudrepurl",,,,,,Hari Datta Sharma,
Baglung,धौलागीरी सामुदायिक श्रोत विकास केन्द्र,Daulagiri Community Resource Development Center,DCRDC Baglung,Baglung-11,068-520249/520665,,dcrdc@ntc.net.np,,,Ishwarlal Raj Bhandari,"Drinking Water, Renewable Energy, Health, Income Generation, Capacity Building and Saving and Credit Mobilization"
Gorkha,पद्धती विकास सेवा केन्द्र,Paddhati Development Service Centre,,Gorkha  Municipality-1,064-420894,,sdscgorkha@yahoo.com,,064-420894,Kamala Lamichane,
Gorkha,ग्र्रामीण सुद्वढिकरण केन्द्र,Rural Strengthening Centre,,Gorkha  Municipality-3,064-420737,,rusrcgorkha@gmail.com,,9846039393,Bhim Lal Shrestha,
Gorkha,जन चेतना गोरखा,Public Awareness Gorakha,,Gorkha  Municipality-1,9846039317,,NA,,9846039317,Hom Bahadur Baniya,
Gorkha,उत्पीडित समुदाय विकास तथा अनुसन्धान केन्द्र,Centre For Oppressed Community Development and Research ,,Gorkha  Municipality-1,064-420856,,roka_kajiram05@yahoo.com,,9846056026,Krishna Bahadur Basel ,
Gorkha,बहु आयामिक सृजनशिल युवा क्लब,Multi Dynamic Creative Youth Club,,Gorkha  Municipality-6,NA,,NA,,NA,,
Gorkha,समाज अनुसन्धान तथा बिकास संस्था,Social Research and Development Organization,,Gorkha  Municipality-3,NA,,NA,,NA,,
Gorkha,द ग्रेट गोर्खा युथ क्लब,The Great Gorakha Youth Club,,Gorkha  Municipality-10,9846027899,,NA,,9846027899,Purushotam Dhakal,
Gorkha,गोरेटो,Goreto,,Gorkha  Municipality-3,064-420525,,goretogorkah@hotmail.com,,9856040650,Paban Raman Khanal,
Gorkha,टोल सुधार समिति,Tole Improvement Committee,,Gorkha  Municipality-3,9846074804,,NA,,9846074804,Dil Man Shrestha,
Gorkha,सघन ग्रामिण विकास केन्द्र,Integrated Rural Devlopment Centre,,Gorkha  Municipality-3,064-421397,,khanal_rishi@hotmail.com,,9856040397,Rishi Khanal,
Gorkha,सामुदायिक विकास केन्द्र,Community Development Centre,,Nareswor-5,9856030326,,NA,,9856030326,Krishna Prashad Dhakal ,
Gorkha,महिला शिक्षक समुह,Women Teachers Group,,Gorkha  Municipality,9846068645,,NA,,9846068645,Hari Maya Sharma ,
Gorkha,गोरखा विकास केन्द्र,Gorakha Development Centre,,Gorkha  Municipality-10,9846027899,,NA,,9846027899,Purushotam Dhakal,
Gorkha,सृजनशील युवा क्लव,Innovative Youth Club,,Aappipal,NA,,NA,,NA,,
Gorkha,दुर्गम क्षेत्र जनजागृति युवा क्लव ,Remote Area Public Awareness Youth Club,,"Thumi-5, Aarkhet",9846431474,,NA,,9846431474,Shanta Bahadur Nepali,
Gorkha,जनसेवा सामुदायिक विकास केन्द्र ,Public Service Community Study Centre,,"Aaruchanaute-1, Aarughat",9741130698,,NA,,9741130698,Krishna Bahadur Nepali  ,
Gorkha,दिगो सामुदायिक अध्ययन केन्द्र ,Sustainable Community Development Centre,,"Gorakha Munucipality-3, Bisaunimod",9856040620,,sdscgorkha@yahoo.com,,9856040620,Indra Lal Adhikari,
Gorkha,एकिकरण नेपाल ,Unification Nepal,,"Gorakha Munucipality-3, Haramtari",9851115589,,unnepal8@gmail.com,,9851115589,Hari Devkota,
Gorkha,विशेनगर्ची स्मृति प्रतिष्ठान ,Bishengarchi Memorial Trust,,"Gorakha Munucipality-3, Pokharithok",9841559462,,NA,,9841559462,Ramesh Pariyar,
Gorkha,द चाइल्ड फष्ट ,The Child First,,"Gorkha Munucipality -2, Dharapani",9846432520,,thechildfirstnepal@gmail.com,,064-421196,Dirgha Gandhari ,
Gorkha,उत्पिडित दलित समाज ,Oppressed Dalit Society,,"Gorkha  Munucipality-5, Dandidanda",064-421374,,NA,,064-421374,Babu Ram Roka ,
Gorkha,एभरग्रिन यूथ क्लव ,Evergreen Youth Club,,"Swara-4, Kharkok Bhanjyang",9841586898,,NA,,9841586898,Hari Man Gurung ,
Gorkha,राष्ट्रिय लोक तथा दोहोरीगीत प्रतिष्ठान नेपाल ,National Folk Song and Dohori  Song Trust Nepal,,"Gorakha Munucipality-3, Tindhare",064-420027,,NA,,064-420027,Bidhya Kumar Aryal ,
Gorkha,आदिवासी जनजाति उत्थान समिति,Aadibasi Indegenious Progressive Committee,,"Gorakha Munucipality-2, Naya Bazar",9846097726,,NA,,9846097726,Surya Man Gurung,
Gorkha,महिला जागरण समूह संस्था ,Women Awareness Group Organization,,"Barpak-9, Padhera",9851088333,,NA,,9851088333,Tilu Ghale,
Gorkha,तीनतारा यूवा क्लव ,Three Star Youth Club,,Barpak-4,9846356555,,NA,,9846356555,Jit Bahadur Ghale,
Gorkha,जनसेवा सामुदायिक विकास केन्द्र ,Public Service Community Development  Centre,,Barpak-9,9851024633,,NA,,9851024633,Indra Bahadur Gurung,
Gorkha,हिमाली क्षेत्र अध्ययन केन्द्र ,Himalayan Area Development Centre ,,"Sirdibas - 8 , Gorkha  ",064-420825,,hacdcgorkha@gmail.com,,064-420825,Dhan Bahadur Gurung,
Gorkha,श्री स्वारा सघन गाँउ विकास केन्द्र ,Shree Swara Integrated Communuty Development Centre,,Swara-,064-421377,,gorkhassicdc@gmail.com,,9841683867,Sita Ram Shrestha ,
Gorkha,परिवर्तन तथा शान्ति अभियान ,Change and Peace Movment,,"Gorakha-3, Tindhare",9846039761,,NA,,9846039761,Gyan Prashad Dhakal,
Gorkha,गोरखा सामुदायिक अध्यायन केन्द्र ,Gorkha Community  Research Centre,,"Gorakha Munucipality-3, Haramtari",9846042606,,NA,,9846042606,Bisheswor Kattel ,
Gorkha,गोरखा शैक्षिक केन्द्र ,Gorkha Education Centre ,,Gorakha Munucipality-3,9856040040,,NA,,9856040040,Kiran Shrestha,
Gorkha,आदिवासी जनजाति सरोकार मञ्च,Forum For Indigenious Nationalities Concern (FINCO),,Gorakha Munucipality- 4,9856024629,,fincogorkha@yahoo.com,,9856024629,Bishnu Rana Magar,
Gorkha,मनकामना विकास समिति ,Manakamana Development Committee ,,Manakamana,9856030082,,NA,,9856030082,Krishna Prashad Devkota ,
Gorkha,गोरखा विकास तथा सञ्चार केन्द्र ,Gorkha Development and Communication Centre ,,Gorakha Munucipality- 3,064-420244,,NA,,064-420244,Sital Kaji Maskey,
Gorkha,उन्पिडित महिला सचेतना केन्द्र ,Udpidit Mahila Sachetana Kendra ,,Gorakha Munucipality- 5,9747070563,,NA,,9747070563,Bishnu Maya Ramtel,
Gorkha,अपाङ्ग सेवा संघ ,Apanga Seba Sangh,,Gorakha Munucipality-3,9846056297,,NA,,9846056297,Niranjan Raman Khanal,
Gorkha,न्यू जेनेरेसन युवा क्लव,New Generation youth Club ,,Nareswor-8,9846089552,,NA,,9846089552,Rabindra Adhikari,
Gulmi,उत्पीडित समुदाय उत्थान केन्द्र,Oppressed Community Upliftment Centre,,"Tamghas-4,Gulmi",079-520217,,ocuc_gulmi02@ntc.net.np,,9747006969,Ganesh Bishwakarma,"education, health, livelihood, drinking water"
Gulmi,एकिकृत ग्रामीण विकास समाज,Integrated Rural Development Society,,"Tamghas-4, Khanigaun",,,gshreeplay@yahoo.com,,9847114635,Ganesh Shipali,"Rural development, Marginalized community"
Gulmi,मानव अधिकार तथा सचेतन संस्था – नेपाल ,Human Rights Awareness Organization,,"Tamghas-4, Gulmi",079-520561,,jankari2005@yahoo.com,,NA,Hari Prasad Pokharel,
Gulmi,सामाजिक जागरण तथा विकास अभियान नेपाल,Social Awareness and Development Campaign,,"Tamghas-1 , Gulmi",079-520471,,NA,,9747007611,Mahendra Pd Bhandari,"Income generation, awareness, drinking water"
Gulmi,सिर्जनशील सामुदायिक विकास केन्द्र,Innovative Community Development centre,,"Tamghas-4,Gulmi",079-520586,,NA,,9857027925,Dan Bahadur K.C,"rural farmer, "
Gulmi,प्रगतिशील समाज दिगाम ,Progressive Society Digam,,Digam-3,NA,,NA,,NA,NA,NA
Gulmi,राष्ट्रिय मालिका ग्रामीण विकास केन्द्र ,National Malika Rural Development Centre,,Tamghas-4,NA,,NA,,NA,NA,NA
Gulmi,लुम्बिनी सामुदायिक विकास केन्द्र,Lumbini Community Development Centre,,"Tamghas-1, Campus Road",NA,,NA,,NA,NA,NA
Gulmi,राष्ट्रिय जनजागरण अभियान,National Public Awareness Campaign,,Tamghas-5,NA,,NA,,NA,NA,NA
Gulmi,ग्रामीण उत्थान संघ,Rural  Upliftment Organization,,Pallikot-1,NA,,NA,,NA,NA,NA
Gulmi,जन जागृती सामाजिक सेवा केन्द्र,Public Awareness Social Service Centre,,Hardineta-2,NA,,NA,,NA,NA,NA
