Year,District,Region,Sector,NGOs Name
2060,Kathmandu,"Central
Region",Child Welfare,Asahaya Bal Utthan Kendra
2054,Mahottari,"Central
Region",Child Welfare,"Asahaya Bal Wa Balika Bikas
Karyakram"
2055,Kathmandu,"Central
Region",Child Welfare,"Asahaya Balabalika Sanrakshyan
Grih"
2061,Lalitpur,"Central
Region",Child Welfare,"Asahaya Balabalika Tatha Apang
Sahayog Nepal"
2057,Makwanpur,"Central
Region",Child Welfare,"Asahaya Balabalika Udhhar
Kendra"
2062,Kathmandu,"Central
Region",Child Welfare,"Asahaya Balabalikaka Sundar
Sansar"
2064,Kathmandu,"Central
Region",Child Welfare,"Asahaya Balbalika Mahila
Sahayog Kendra"
,Kaski,"Western
Region",Child Welfare,Asahaya Garib Sahayata Sanstha
2054,Morang,"Eastern
Region",Child Welfare,"Asahaya Mahila Tatha Bal
Kalyankari Sanstha"
2053,Lalitpur,"Central
Region",Child Welfare,Asahaya Naniharuko Sathi
2053,Kathmandu,"Central
Region",Child Welfare,Asahaya Sarokar Samuh Nepal
2064,Jhapa,"Eastern
Region",Child Welfare,Asahaya Sewa Samaj Nepal
2058,Kailali,"Far Western
Region",Child Welfare,Asahaya Sewa Sangh
2063,Kaski,"Western
Region",Child Welfare,"Asahaya Tatha Anath
Balabalikaharuko Sanrakshyana
Shikshyaa"
2062,Kathmandu,"Central
Region",Child Welfare,"Asahaya Tatha Dhhand Pidit
Udhhar Kendra"
2059,Lalitpur,"Central
Region",Child Welfare,"Asahaya Tatha Tuhura Balabalika
Sanrakshyana Faundeshan Nepa"
2059,Jhapa,"Eastern
Region",Child Welfare,"Asakshyam Bal Balika
Purnasthapana Bikas Kendra"
2051,Lalitpur,"Central
Region",Child Welfare,Asal Gothalo
2056,Chitawan,"Central
Region",Child Welfare,Asha Anathalaya Nepal
,Banke,"Mid Western
Region",Child Welfare,Asha Ashram
2054,Lalitpur,"Central
Region",Child Welfare,Asha Bal Kendra
2059,Kathmandu,"Central
Region",Child Welfare,Ashagrih Nepal
2060,Kathmandu,"Central
Region",Child Welfare,"Ashaktt Mahila Tatha Balabalika
Ka Manaw Adhikar Sanrakshyan"
2057,Kathmandu,"Central
Region",Child Welfare,Ashaya Balsewa Samaj Nepal
2066,Lalitpur,"Central
Region",Child Welfare,Ashis Bal Kalyan Griha
2066,Kathmandu,"Central
Region",Child Welfare,Ashishit Bal Griha Nepal
2057,Kathmandu,"Central
Region",Child Welfare,"Ashrit Bal Bikas Tatha Shikshya
Kendra"
2065,Nuwakot,"Central
Region",Child Welfare,Asian Children Fund Nepal
2063,Lalitpur,"Central
Region",Child Welfare,Astha Child Care Center
2050,Kathmandu,"Central
Region",Child Welfare,"B.P.Smriti Bidhyarthi Tatha Bal
Kalyan"
2065,Kathmandu,"Central
Region",Child Welfare,Bachaharuko Hatemalo Samaj
2055,Kathmandu,"Central
Region",Child Welfare,"Bachcha Yuwa Ra Bridha
Parichalan Kendra"
2062,Kathmandu,"Central
Region",Child Welfare,"Bachchaharuko Lagi Sahayog
Nepal"
2065,Kathmandu,"Central
Region",Child Welfare,Bal Adhar Nepal
2051,Kathmandu,"Central
Region",Child Welfare,Bal Adhayan Tatha Bikas Kendra
2063,Kathmandu,"Central
Region",Child Welfare,Bal Adhikar Abhiyan Nepal
2065,Lalitpur,"Central
Region",Child Welfare,Bal Adhikar Adhhyan Pratisthan
2063,Lalitpur,"Central
Region",Child Welfare,Bal Adhikar Ghar
2066,Kathmandu,"Central
Region",Child Welfare,"Bal Adhikar Ra Sarokar Kendra
Nepal"
2058,Bhaktapur,"Central
Region",Child Welfare,"Bal Adhikar Samrakshyan
Karyakram"
2062,Kathmandu,"Central
Region",Child Welfare,"Bal Adhikar Sanrakshyan Tatha
Bikas Kendra Nepal"
2062,Kathmandu,"Central
Region",Child Welfare,Bal Adhikar Sarokar Manch Nepal
2065,Surkhet,"Mid Western
Region",Child Welfare,Bal Adhikar Sarokar Manch Nepal
2065,Kathmandu,"Central
Region",Child Welfare,"Bal Adhikar Sikchhya Kendra
Nepal"
2057,Kathmandu,"Central
Region",Child Welfare,"Bal Adhikar Tatha Sanskritik
Sangh"
2059,Saptari,"Eastern
Region",Child Welfare,"Bal Adhikari Tatha Batabaran
Samaj Nepal"
2050,Kathmandu,"Central
Region",Child Welfare,Bal Ahikar Samrakshan Kendra
2050,Kathmandu,"Central
Region",Child Welfare,Bal Anath Griha
2060,Kathmandu,"Central
Region",Child Welfare,Bal Anukampa Samaj
2066,Lalitpur,"Central
Region",Child Welfare,"Bal Anumati Nepal (Allow the
Children Nepal)"
2063,Kathmandu,"Central
Region",Child Welfare,Bal Apang Tewa Sanstha
2062,Kathmandu,"Central
Region",Child Welfare,Bal Asaktt Tuhura Nepal
2060,Kathmandu,"Central
Region",Child Welfare,Bal Asha Kendra
2057,Lalitpur,"Central
Region",Child Welfare,Bal Awaj
2063,Kathmandu,"Central
Region",Child Welfare,Bal Bachau Karyakram Nepal
2056,Kaski,"Western
Region",Child Welfare,Bal Bachau Kosha Nepal
2055,Kathmandu,"Central
Region",Child Welfare,Bal Bachau Nepal
2059,Kathmandu,"Central
Region",Child Welfare,Bal Bachau Nepal
2063,Kathmandu,"Central
Region",Child Welfare,Bal Balika haru ka lagi Jyoti Griha
2057,Sunsari,"Eastern
Region",Child Welfare,Bal Balika Hit Kendra
2050,Kathmandu,"Central
Region",Child Welfare,"Bal Balika Ka Nimita Gair Sarkari
Sansthaharuko Mahasangh"
2061,Kaski,"Western
Region",Child Welfare,"Bal Balika Mahila Tatha
Batabarana Sarokar Kendra"
2058,Siraha,"Eastern
Region",Child Welfare,"Bal Balika Mahila Tatha
Samudayik Bikas Sanstha Nepal"
2052,Kathmandu,"Central
Region",Child Welfare,Bal Balika Nepal
2054,Rupandehi,"Western
Region",Child Welfare,"Bal Balika Purna Bikas Samaj
Nepal"
2060,Kathmandu,"Central
Region",Child Welfare,Bal Balika Sahayog Kendra
2060,Kathmandu,"Central
Region",Child Welfare,Bal Balika Samwadhd Nepal
2059,Lalitpur,"Central
Region",Child Welfare,"Bal Balika Sikshya Ra Bikas
Manch"
2051,Kathmandu,"Central
Region",Child Welfare,"Bal Balika Tatha Batabaran
Sarokar Nepal"
2059,Dadeldhura,"Far Western
Region",Child Welfare,"Bal Balika Tatha Mahila Jan
Chetana Bikas Kendra"
2058,Kathmandu,"Central
Region",Child Welfare,Bal Balika Utthan Kendra
2058,Kathmandu,"Central
Region",Child Welfare,"Bal Balika Utthan Tatha Gramin
Sewa"
2061,Kathmandu,"Central
Region",Child Welfare,"Bal Balika Yuwa Kalyanakari
Tatha Shikshyaa Sangh"
2059,Kathmandu,"Central
Region",Child Welfare,Bal Balikaharuko Herachah Nepal
2055,Kathmandu,"Central
Region",Child Welfare,"Bal Balikaharuko Lagi Sankhu
Samajik Sewa Club"
2059,Bhaktapur,"Central
Region",Child Welfare,"Bal Balikaka Lagi Manawawadi
Trust Nepal"
2051,Syangja,"Western
Region",Child Welfare,"Bal Balikako Batabaranka Lagi
Jan Sakriyata"
2063,Kathmandu,"Central
Region",Child Welfare,Bal Basera
2059,Kathmandu,"Central
Region",Child Welfare,Bal Batabaran Nepal
2060,Kathmandu,"Central
Region",Child Welfare,Bal Batabarana Kendra Nepal
2060,Kathmandu,"Central
Region",Child Welfare,Bal Bhawishaya Sangathan Nepal
2057,Kathmandu,"Central
Region",Child Welfare,"Bal Bhojan Ka. Nepal Tatha Gaun
School College  Bidhyarth"
2062,Lalitpur,"Central
Region",Child Welfare,Bal Bikako Lagi Adharashil
2051,Sunsari,"Eastern
Region",Child Welfare,"Bal Bikas Abm Mahila Bikas
Kendra"
2059,Surkhet,"Mid Western
Region",Child Welfare,Bal Bikas Kendra
2055,Jhapa,"Eastern
Region",Child Welfare,Bal Bikas Manch Nepal
2057,Kathmandu,"Central
Region",Child Welfare,"Bal Bikas Manch,nepal"
2057,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Pratishathan
2056,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Sahayog Samuh
2048,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Samaj
2059,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Samajik Sewa Sangh
2050,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Sangh
2054,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Sanstha
2058,Kathmandu,"Central
Region",Child Welfare,Bal Bikas Sewa Kendra
2062,Lalitpur,"Central
Region",Child Welfare,"Bal Bikas Swayansewi Sangathan
Nepal"
2054,Kathmandu,"Central
Region",Child Welfare,"Bal Bikas Tatha Anusandhan
Sasntha"
2060,Ramechhap,"Central
Region",Child Welfare,"Bal Bikas Tatha Batabaran
Sanrakshyan Manch"
2061,Rautahat,"Central
Region",Child Welfare,"Bal Bikas Tatha Batabaran
Sanrakshyana Nepal"
2055,Sunsari,"Eastern
Region",Child Welfare,"Bal Bikas Tatha Batabarana
Sarokar sanstha"
2061,Surkhet,"Mid Western
Region",Child Welfare,"Bal Bikas Tatha Mahila
Sashattikarana Samaj"
2063,Lalitpur,"Central
Region",Child Welfare,Bal Bikas tatha Sarokar Kendra
2056,Kathmandu,"Central
Region",Child Welfare,"Bal Bikasako Lagi Srijanatmak
Samiti Nepal"
2055,Bara,"Central
Region",Child Welfare,"Bal Bkas Tatha Batabarana
Sanrakshyana Kendra"
,Sunsari,"Eastern
Region",Child Welfare,BAL BYAYAM CLUB
2060,Parsa,"Central
Region",Child Welfare,"Bal Chetana Tatha Shanti Samaj
Nepal"
2063,Lalitpur,"Central
Region",Child Welfare,Bal Chhahari
2062,Kathmandu,"Central
Region",Child Welfare,Bal Dhadkan Nepal
2056,Kathmandu,"Central
Region",Child Welfare,Bal Herachaha Kendra
2065,Morang,"Eastern
Region",Child Welfare,"Bal Herchaha Ra Sarsafai
Karyakram"
2051,Sindhupalchok,"Central
Region",Child Welfare,Bal Hit Kendra
2057,Kathmandu,"Central
Region",Child Welfare,Bal Hit Sewa Samiti
2054,Chitawan,"Central
Region",Child Welfare,"Bal Hitakari Paropakar Sasntha
Nepal"
2063,Kathmandu,"Central
Region",Child Welfare,Bal Hridaya Nepal
2059,Doti,"Far Western
Region",Child Welfare,"Bal Jayoti Samaj Sudhar Yuwa
Club"
2059,Jhapa,"Eastern
Region",Child Welfare,Bal Jyoti Samuh
2050,Doti,"Far Western
Region",Child Welfare,Bal Kalyan Kendra
2054,Kathmandu,"Central
Region",Child Welfare,Bal Kalyan Kendra
2065,Makwanpur,"Central
Region",Child Welfare,Bal Kalyan Nepal
2065,Chitawan,"Central
Region",Child Welfare,Bal Kalyan Samaj
2054,Kanchanpur,"Far Western
Region",Child Welfare,"Bal Kalyan Tatha Samajik Sewa
Samiti"
,Baglung,"Western
Region",Child Welfare,Bal Kalyana
2053,Lalitpur,"Central
Region",Child Welfare,Bal Kalyana Grih
2058,Kaski,"Western
Region",Child Welfare,Bal Kalyana Grih
2060,Kathmandu,"Central
Region",Child Welfare,Bal Kalyana Kendra
2053,Kailali,"Far Western
Region",Child Welfare,Bal Kalyana Sangh Tikapur
2058,Kaski,"Western
Region",Child Welfare,Bal Kalyana Sanstha
2053,Kathmandu,"Central
Region",Child Welfare,"Bal Kalyana Tatha Anusanadhan
Kendra"
2057,Sunsari,"Eastern
Region",Child Welfare,"Bal Kalyana Tatha Gramina Jan
Kalyana Abhiyan"
2053,Banke,"Mid Western
Region",Child Welfare,"Bal Kalyana Tatha Samudayik
Sangh"
2062,Kathmandu,"Central
Region",Child Welfare,Bal Kalyana Tatha Shanti Samaj
2061,Kaski,"Western
Region",Child Welfare,Bal Kalyanako Lagi Hatemalo
2061,Bhaktapur,"Central
Region",Child Welfare,Bal Kshyetra Nepal
2056,Saptari,"Eastern
Region",Child Welfare,"Bal Mahila Batabarana
Sanrakshyana Karyakram"
2061,Mahottari,"Central
Region",Child Welfare,"Bal Mahila Tatha Bridhh Kalyana
Kendra"
2052,Kathmandu,"Central
Region",Child Welfare,"Bal Mahila Tatha Bridhh Sarokar
Kendra"
2058,Kathmandu,"Central
Region",Child Welfare,Bal Mahila Utthan Sanstha
2060,Banke,"Mid Western
Region",Child Welfare,Bal Manch
