District,Zone,Geographical Region,Development Region,NGO Name in Nepali,NGO Name in English,Acronym,Address,Telephone No.,Fax No.,Email,Website,Office Mobile No.,Contact Person,Working Sector
Ilam,Mechi,Hill,Eastern,नव ज्योती युवा परिषद,Nawa Jyoti Youth Council,,Kolung-2,,,,,,,
Ilam,Mechi,Hill,Eastern,मिरमिरे बिहानी क्लब,Mirmire Bihani Club,,Kanyan-7,,,,,,,
Ilam,Mechi,Hill,Eastern,इलाम सरोकार मञ्च,Ilam Concern Forum,,Ilam-9,,,,,,,
Ilam,Mechi,Hill,Eastern,अरुणोदय सामाजिक समिति,Arunodaya Social Committee,,,,,,,,,
Ilam,Mechi,Hill,Eastern,नामसालिङ्ग सामुदायिक बिकास केन्द्र (एनसिडिसी),Namsaling Community Development Centre,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,पुवामाइ युवा क्लव,Puwamai Youth Club,,"Sakhejung-2, Nepaltar",,,,,,,
Ilam,Mechi,Hill,Eastern,समाज कल्याण क्लब,Social Welfare Club,,"Ilam-2, Golakharka",,,,,,,
Ilam,Mechi,Hill,Eastern,सूर्योदय युवा क्लव,Suryodaya Youth Club,,Chisapani-7,,,,,,,
Ilam,Mechi,Hill,Eastern,युवा प्रगती क्लब,Youth Progressive Club,,"Pashupatinagr-8, Rungsung",,,,,,,
Ilam,Mechi,Hill,Eastern,सुनौलो युवा क्लब,Sunaulo Youth Club,,"Ilam-9, Sunaulo Basti",,,,,,,
Ilam,Mechi,Hill,Eastern,सुनगाभा विकास संस्था ,Sungava Development Organization,,"Ilam-2, Sano Tundi Khel",,,,,,,
Ilam,Mechi,Hill,Eastern,मेचि नमुना क्लव,Mechi Namuna Club,,"Romrungeli, Godak-4",,,,,,,
Ilam,Mechi,Hill,Eastern,त्रिवेणी क्लब,Tribeni Club,,Mangalbare-1,,,,,,,
Ilam,Mechi,Hill,Eastern,सुर्योदय सामाजिक समिति,Suryodaya Social Committee,,"Phikkal-6, Phikkalbazar",,,,,,,
Ilam,Mechi,Hill,Eastern,इलाम प्रगति समाज,Ilam Progressive Society,,Ilam -2,,,,,,,
Ilam,Mechi,Hill,Eastern,माउण्ट भ्यु युथ क्लब,Mount View Youth Club,,"Laxmipur-4, Batase",,,,,,,
Ilam,Mechi,Hill,Eastern,पाथिभरा क्लब,Pathibhara Club,,Ilam-8,,,,,,,
Ilam,Mechi,Hill,Eastern,महिला कल्याण समाज,Women Welfare Society,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,सेल्फ नेपाल,Self Nepal,,Babote-8,,,,,,,
Ilam,Mechi,Hill,Eastern,महिला जागरण संघ,Women Awareness Organization,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,सुर्योदय युवा क्लव,Suryodaya Youth club,,Ilam Municipality,,,,,,,
Ilam,Mechi,Hill,Eastern,महिला श्रृजना समाज,Mahila Srijana Samaj,,"Ilam Municipality-2, Malapath",,,,,,,
Ilam,Mechi,Hill,Eastern,इलाम सहयोग परिषद,Ilam Helping Council,,Ilam,,,,,,,
Ilam,Mechi,Hill,Eastern,रोडोडेन्ड्रन यूथ क्लब,Rhododendron  Youth Club,,Pharphok-9,,,,,,,
Ilam,Mechi,Hill,Eastern,दृष्टि बिहिन समाज,Blindness Society,,Sulubung-5,,,,,,,
Ilam,Mechi,Hill,Eastern,झुल्के घाम समाज सेवा यूवा क्लब,Jhulke Gham Sajam sewa Youth Club,,Jamuna,,,,,,,
Ilam,Mechi,Hill,Eastern,सेतो गुरॉस बाल बिकास सेवा केन्द्र,Seto Gurans National Child Development Sarvices,,"Ilam-2, Bhanupath",,,,,,,
Ilam,Mechi,Hill,Eastern,हिमालयन सामाजिक परिचालन केन्द्र,Himalyan Social Mobilization Centre,,"Ilam-8,Singphring",,,,,,,
Ilam,Mechi,Hill,Eastern,सामाजिक सेवा समुह,Social Service Group,,Sangrumba-3,,,,,,,
Ilam,Mechi,Hill,Eastern,श्रृजना यूवा क्लब,Srijana Youth Club,,"Kolbung-8, Harkate",,,,,,,
Ilam,Mechi,Hill,Eastern,मुनाल यूवा क्लव,Munal Youth Club,,"Kolbung -6, Marse",,,,,,,
Ilam,Mechi,Hill,Eastern,मालापथ चिन्तन मञ्च,Mala Path Chintan Fourm,,"Ilam-2, Malapath",,,,,,,
Ilam,Mechi,Hill,Eastern,मनकामना युवा क्लव,Manakamana Youba Club Siddhithumka,,"Siddithumka, Namthala",,,,,,,
Ilam,Mechi,Hill,Eastern,पुवामाइ एकता केन्द्र,Puwamai Unity Centre,,"Ilam-4, Golakharka",,,,,,,
Ilam,Mechi,Hill,Eastern,गोल्डेन भ्यालि युथ क्लब,Golden Valley Youth Club,,"Jirmale, Salkpur",,,,,,,
Ilam,Mechi,Hill,Eastern,स्मृती सामाजिक बिकास मञ्च,Smriti Social Development Form,,Pyng-4,,,,,,,
Ilam,Mechi,Hill,Eastern,भु–मण्डल समूह,Bhu- Mandal Samuha,,"Ilam-6, Tilkeni",,,,,,,
Ilam,Mechi,Hill,Eastern,श्रृजनशील महिला समुह,Srijanshil Women Group,,Ilam Municipality,,,,,,,
Ilam,Mechi,Hill,Eastern,अपाङ्ग एकता समाज,Disable Unity Society,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,सामाजिक सचेतना विकास केन्द्र (मंच),Social Awareness Development Centre,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,हिल भ्यु युथ क्लव,Hill View Youth Club,,"Sumbek-6, Gairigaun",,,,,,,
Ilam,Mechi,Hill,Eastern,जनकल्याण सेवा समिति,Public Welfare Service Committee,,"Ilam-6, Tilkeni",,,,,,,
Ilam,Mechi,Hill,Eastern,सरस्वती यूवा क्लब,Saraswati Youth Club,,"Borbote-9, Okhe",,,,,,,
Ilam,Mechi,Hill,Eastern,सूर्योदय क्लब,Sunrise Club Dhuseini Ilam,,"Dhuseni-5, Bagaicha",,,,,,,
Ilam,Mechi,Hill,Eastern,नव ज्योती युवा समूह,Nawa Jyoti Youth Group,,"Ilam-8,Ghos",,,,,,,
Ilam,Mechi,Hill,Eastern,देवान गाँउ विकास केन्द्र,Dewan Village Development Centre,,"Sumbek-6, Dewangaun",,,,,,,
Ilam,Mechi,Hill,Eastern,जुन तारा युवा क्लब,Jun Tara Youth Club,,"Ilam-2,Phulganchhi",,,,,,,
Ilam,Mechi,Hill,Eastern,दुर्गमक्षेत्र अनुसन्धान तथा विकास परिषद् नेपाल,Councol of Remote Area invetigion and DevelopmentNepal,,Nayabazar-9,,,,,,,
Ilam,Mechi,Hill,Eastern,मानव अधिकार मञ्च ,Human Rights Forum,,Ilam-1,,,,,,,
Ilam,Mechi,Hill,Eastern,बरफल्याण्ड जनसेवा युवा क्लव ,Bafar Land Public Service Youth Club,,Shantipur-7,,,,,,,
Ilam,Mechi,Hill,Eastern,मेची किनारा युवा क्लब ,Mechi Kinara Youth Club,,Shree Antu-2,,,,,,,
Ilam,Mechi,Hill,Eastern,प्रभातकालिन सामाजिक तथा वातावरणीय विकास समूह ,Sunrise Social And Enviromental Development Sector,,Chulachuli-3,,,,,,,
Ilam,Mechi,Hill,Eastern,दीपज्योति श्रृजना क्लब ,Deep Jyoti Srijana Club,,Mangalbare-1,,,,,,,
Ilam,Mechi,Hill,Eastern,उच्च पहाडी जडिबुटी उत्पादन समूह ,High Altitude Herbal  Growers And Preserration Intitude,,Sulubung-2,,,,,,,
Ilam,Mechi,Hill,Eastern,हाम्रो वातावरण तथा महिला विकास केन्द्र ,Our Environment and Women Development Centre,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,लालीमा क्लब ,Lalima Club,,Shantipur-3,,,,,,,
Ilam,Mechi,Hill,Eastern,सामुदायिक विकास तथा सरोकार केन्द्र ,Community Development and Concern Centre,,Mangalbare-1,,,,,,,
Ilam,Mechi,Hill,Eastern,दिपशिखा युवा क्लब ,Deep Shikha Youth Club,,Shantipur-3,,,,,,,
Ilam,Mechi,Hill,Eastern,उत्पीडित जातीय अधिकार मञ्च  ,Social Economic Development Of Oppressed Group,,"Ilam-2, Malapath",,,devendra_lam@yahoo.com,,,,
Ilam,Mechi,Hill,Eastern,सयपत्री विकास संस्था ,Sayapatri Development Organization,,"Laxmipur-3, Kolbote",,,,,,,
Ilam,Mechi,Hill,Eastern,कानुन र मानव अधिकार अन्वेषण विकास संस्था नेपाल  ,Legal and Human Rights Research Development Institution Nepal ,,"Ilam-3,Goalbasti",,,,,,,
Ilam,Mechi,Hill,Eastern,स्वर्णिम प्रभात सामाजिक सेवा केन्द्र ,Golden Down Social Service Center ,,Sangrumba-8,,,,,,,
Ilam,Mechi,Hill,Eastern,एकता परिवार ,Ekta Pariwar,,Antu-2,,,,,,,
Ilam,Mechi,Hill,Eastern,मेची विकास संघ ,Mechi Development Association,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,नमुना विकास केन्द्र ,Namuna Development Centre,,"Jirmale-5, Ramyang",,,,,,,
Ilam,Mechi,Hill,Eastern,प्रगतिशील युवा समूह ,Progressive Youth Group,,"Kanyan-1, Dabbu Gaun",,,,,,,
Ilam,Mechi,Hill,Eastern,फ्रेण्डशीप युवा क्लव ,Friendship Youth Club,,"Godak-6, Mandir Chowk",,,,,,,
Ilam,Mechi,Hill,Eastern,पर्यटन प्रवर्धन केन्द्र ,Tourism Promotion Centre,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,गजुरमुखी सिर्जनशील समाज ,Gajurmukhi Creative Society,,"Gajurmukhi-4, Nangrung",,,,,,,
Ilam,Mechi,Hill,Eastern,श्री प्रगतिशील युवा समाज ,Progressive Youth Society,,"Ilam-7, Garimatole",,,rubighimire@yahoo.com,,,,
Ilam,Mechi,Hill,Eastern,परिवर्तनशील असल शासन क्लव ,Changing Good Goverance Club,,"Manglbare-9, Kyabung",,,,,,,
Ilam,Mechi,Hill,Eastern,समाज विकासको लागि महिला हातेमालो कार्यक्रम,Women Solidarity Program For Social Development,,"Ilam-3,Goal Basti",,,,,,,
Ilam,Mechi,Hill,Eastern,जागृति ग्रामीण विकास मञ्च ,Jagrit Rural Development Forum,,"Antu-3, Samalbung",,,,,,,
Ilam,Mechi,Hill,Eastern,मध्यपवृतीय जैविक विविधता संरक्षण समाज ,Mid-hill Biodivrsity Conservation Society,,Maipokhari-1,,,,,,,
Ilam,Mechi,Hill,Eastern,इलामेली जागरण केन्द्र ,Ilameli Jagaran Kendra,,Ilam-2,,,ananda_kattel@yahoo.com,,,,
Ilam,Mechi,Hill,Eastern,महिला जागरण मञ्च इलाम ,Women Awareness Forum,,Ilam-2,,,mjs_ilam@ntc.net.np,,,,
Ilam,Mechi,Hill,Eastern,सामुदायिक युवा बिकास मञ्च ,Community youth Development Forum,,Ilam-2,,,,,,,
Ilam,Mechi,Hill,Eastern,चुरिया क्षेत्र संरक्षण समिति ,The National Siwalik Area Non-Government Organization Co.oradination committee,,Danabari-1,,,,,,,
Ilam,Mechi,Hill,Eastern,ड्रिम्स क्लब ,Dreams Club,,Panchakanya-1,,,,,,,
Ilam,Mechi,Hill,Eastern,आयाम युवा क्लव ,Aayam Youth Club,,,,,,,,,
Ilam,Mechi,Hill,Eastern,क्राइड नेपाल ,Kride Nepal,,,,,,,,,
Ilam,Mechi,Hill,Eastern,महिला सशक्तिकरण मञ्च ,Women Empowerment Forum,,,,,,,,,
Ilam,Mechi,Hill,Eastern,संकल्प चेतनशील समाज ,Sankalpa Awarness Society,,,,,,,,,
Ilam,Mechi,Hill,Eastern,वातावरण चेतनशील समाज ,Environmental Awareness Society,,,,,,,,,
Ilam,Mechi,Hill,Eastern,नमुना समाज दानावारी ,Namuna Samaj Danabari,,,,,,,,,
Ilam,Mechi,Hill,Eastern,सूर्योदयो समाज ,Suryaodaya Samaj,,,,,,,,,
Ilam,Mechi,Hill,Eastern,सप्तरङ्गी सामुदायिक केन्द्र ,Saptarangi community Centre,,,,,,,,,
Ilam,Mechi,Hill,Eastern,निहारिका समाज सेवा मञ्च ,Niharika Social Service Forum,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,नेपाल सामुदायिक विकास केन्द्र,Community Development Centre Nepal,,N.C.D.C. Bhadrapur-11,,,,,,,
Jhapa,Mechi,Terai,Eastern,सुर्योदय युवा क्लब,Sunrise Youth Club,,Anarmani-4,,,,,,,
Jhapa,Mechi,Terai,Eastern,वातावरण संरक्षण युवा समूह,Environment Protection Youth Socitey,,Shanishchare-2,,,,,,,
Jhapa,Mechi,Terai,Eastern,समाजसेवी युवा क्लव ,Social Worker Youth Club,,Arjnudhara-6,,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामिण जन विकास केन्द्र,Rural Public Development Centre,,Birtamod,,,,,,,
Jhapa,Mechi,Terai,Eastern,रामजानकी युवा क्लव ,Ram Janki Youth Club,,Bahundangi-6,,,,,,,
Jhapa,Mechi,Terai,Eastern,सामाजिक सेवा समिति,Social Service Committee,,"Damak-13, Bikas Marga",,,,,,,
Jhapa,Mechi,Terai,Eastern,प्रतिभा युवा क्लब,Prativa Youth Club,,Char Aali-4,,,,,,,
Jhapa,Mechi,Terai,Eastern,समाज सेवी परिवार,Family of Social Worker ,,Arjun Dhara-6,,,,,,,
Jhapa,Mechi,Terai,Eastern,स्थानिय विकास तालिम तथा अनुसंधान प्रतिष्ठान ,Local Development Training and Research Trust,,Chandragadhi-1,,,,,,,
Jhapa,Mechi,Terai,Eastern,जनचेतना केन्द्र,Public Awareness Centre,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,सामाजिक युवा क्लव,Social Youth Club,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,अमर द्धिप युवा क्लव,Amar Dip Youth Club,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामीण सरोकार समुह,Rural Concern Group,,charpane-8,,,,,,,
Jhapa,Mechi,Terai,Eastern,नेपालको लागी समाज कल्याण संघ,Social Welfare Organizaiton for Nepal,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,नेपाल बहु–उद्धेश्यिय समाज विकास मंच,Nepal Multi-purpose Society  Development Forum ,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,न्यु सन राईज क्लव,New Sun Rise Club,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,वागेडाँगी सामुदायिक विकास केन्द्र,Bange Dangi Community Development Centre,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,आमा मिलन केन्द्र,Aama Milan Kendra,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,सक्रिय समाज कल्याण परिवार,Active Social Welfare Family,,Jhapa-9,,,,,,,
Jhapa,Mechi,Terai,Eastern,महिला जागरण तथा बिकास केन्द्र,Centre Women Awareness Of Development ,,3 Jhoda-10,,,,,,,
Jhapa,Mechi,Terai,Eastern,सिर्जनशील युवा समाज,Srijansil Youth Society,,Charpate-7,,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामिण बिकास पूर्वाधार केन्द्र,Rural Development Infrastructure Centre,,Gauradaha-9,,,,,,,
Jhapa,Mechi,Terai,Eastern,महिला ज्योती समूह,Women Jyoti Group,,Damaka-13,,,,,,,
Jhapa,Mechi,Terai,Eastern,रत्न बिकास समुह संघ केन्द्र,Ratna Development Union Center,,Damaka-11,,,,,,,
Jhapa,Mechi,Terai,Eastern,महिला सामाजिक कल्याण केन्द्र,Women Social Welfare Centre,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,नारी कल्याण संघ,Women Welfare Orgnization,,Chakchaki- 5,,,,,,,
Jhapa,Mechi,Terai,Eastern,युवा विकास समाज,Youth Development Society,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,श्रृजना युवा क्लव,Srijana Youth Club,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,मेची युनेस्को क्लब,Mechi UNESCO Club,,Topgachhi-7,,,,,,,
Jhapa,Mechi,Terai,Eastern,कन्काई यूनेस्को क्लव ,Kankai UNESCO Club,,Satasidham-3,,,,,,,
Jhapa,Mechi,Terai,Eastern,साहरा नेपाल,Sahara Nepal,,Charpane-3,,,,,,,
Jhapa,Mechi,Terai,Eastern,नारी कल्याण समाज,Women Welfare Society,,Arun Dhara-6,,,,,,,
Jhapa,Mechi,Terai,Eastern,क्षितिज सामुदायिक बिकास केन्द्र,Horizon Community Development Centre,,Arun Dhara-6,,,,,,,
Jhapa,Mechi,Terai,Eastern,नार्गजुन बहुउदेसीय बिकास परिषद,Nagarjun Multi purpose Development Council,,Bhadrapur-15,,,,,,,
Jhapa,Mechi,Terai,Eastern,पुनर्जीवन सरोकार केन्द्र,Punrajiwan Sarokar Kendra,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,"गैरसरकारी संस्था समन्वय समिति, झापा",NGO Coordination Committee,,Charpane-3,,,,,,,
Jhapa,Mechi,Terai,Eastern,नव ज्योती महिला समाज सेवा ,Nawa Jyoti Women Social Service,,Arjundhara,,,,,,,
Jhapa,Mechi,Terai,Eastern,महिला श–सतmीकरण नेपाल,Women Empowerment Nepal,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,बाल विकास मंच,Child Development Forum,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,वी.पी. श्रृजनशील तथा प्राविधिक समाज,B.P. Creative and Technicle Society,,Budhabare-9,,,,,,,
Jhapa,Mechi,Terai,Eastern,नव ज्योती युवा क्लव,Nawa Jyoti Youth Club,,Bangdagi-3,,,,,,,
Jhapa,Mechi,Terai,Eastern,त्रिवेणी जनसेवा यूवा क्लव,Tribeni Public Service Youth Club,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,वातावरण तथा स्वास्थ्य विकास केन्द्र,Environment and Health Deveopment Centre,,Damaka-11,,,,,,,
Jhapa,Mechi,Terai,Eastern,नेपाल राष्ट्रिय दलित समाज कल्याण संघ,Nepal National Depressed Social  Welfare Organization ,,Damaka-12,,,,,,,
Jhapa,Mechi,Terai,Eastern,नेपाल अग्र्यानिक कृषि विकास संस्था,Nepal Organic Agriculture Developmetn Organization,,Mechi Municipality -10,,,,,,,
Jhapa,Mechi,Terai,Eastern,सामुदायिक जिवन विकास केन्द्र,Community Life Development Centre,,,,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामीण सेवा समुदाय क्लब,Rural Service Community Club,,Shanishchare,,,,,,,
Jhapa,Mechi,Terai,Eastern,जनसंख्या तथा वातावरण सरोकार समुह,Population and Environment Concern Group,,"Anarmani-8, Birtabazar",,,,,,,
Jhapa,Mechi,Terai,Eastern,प्रतिभा महिला सामुदायिक विकास संस्था ,Prtiva Women Community Development Organizaition,,Surunaga-6,,,,,,,
Jhapa,Mechi,Terai,Eastern,ह्याप्पी नेपाल,Happy Nepal,,Damak-11,,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामीण विकास मञ्च,Forum of Rural Development ,,Mechi Municipality-7,,,,,,,
Jhapa,Mechi,Terai,Eastern,सामाजिक चेतना विकास केन्द्र,Social Awareness Development Centre,,Damak,,,,,,,
Jhapa,Mechi,Terai,Eastern,वातावरण संरक्षण तथा सरसफाई समाज,High Hilly Herbal Production Group,,Budhabare,,,,,,,
Jhapa,Mechi,Terai,Eastern,महिला जागरण समिति,Women Awareness Committee,,Chandragadhi,,,,,,,
Jhapa,Mechi,Terai,Eastern,सगरमाथा सामाजिक सेवा केन्द्र,Sagarmatha Social Service Centre,,"Anarmadi-7, Sainik Road",,,,,,,
Jhapa,Mechi,Terai,Eastern,विराट सामुदायिक अध्ययन केन्द्र,Birat Community Studies Centre,,"Anarmadi-7, Sainik Road",,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामिण विकास केन्द्र,Rural Development Centre,,Budhabare,,,,,,,
Jhapa,Mechi,Terai,Eastern,ग्रामीण विकास तथा चेतना मञ्च,Oppressed Caste Rigths Forum,,Gauradaha,,,,,,,
Jhapa,Mechi,Terai,Eastern,युनाइटेड युथ क्लब,United Youth Club,,Gauradaha,,,hemata_karki@hotmail.com,,,,
Jhapa,Mechi,Terai,Eastern,सामुदायिक महिला विकास केन्द्र ,Community Women Development Center,,"Anarmadi-7, Sainik Road",,,gita_dhal2007@yahoo.com,,,,
Jhapa,Mechi,Terai,Eastern,महिला मूक्ति अभियान ,Campaign of Women Freedom,,Charpane-1,,,,,,,
Jhapa,Mechi,Terai,Eastern,सामाजिक चेतना विकास केन्द्र ,Social Awareness Development Centre,,Chandragadhi,,,,,,,
Jhapa,Mechi,Terai,Eastern,सहमत नेपाल ,Sahamat Nepal,,Bhadrapur,,,,,,,
Jhapa,Mechi,Terai,Eastern,सहकार्य युवा क्लव ,Co-Working Youth Club,,Surunaga-6,,,,,,,
