"The Micronutrient  Initiative (MI)",Canada,,,,4415193
"The Nepal Trust",USA,,,,4289413
"The Nepalese Children Foundation,",Ireland,,,,4108945
"The Network Aid Assistange Acceptance (NAAA)",Italy,,,,4418702
"The Public International Law and Policy Group (PILPG)",USA,,,,4438873
"The Swedish Organization For Individual Relief (Individual Manniskohjalp), Sweden",Sweden,,,,078-575536
"The Umbrella Foundation",Ireland,,,,"4670932            4287062"
"Trinity Relief Foundation",Germany,,,,"9841293736   9741110833"
"UM Hong Gil Human Foundation,","South Korea",,,,4353761
"UN Reggio di Luce Onllus Foundation (FURDL)",Italy,,,,5001277
"United Mission to Nepal (UMN)",UK,,,,"4228118, 4268900"
"Uniterian Service Cooperation of Canada (USC)",Canada,,,,061-538727
"VISTARE Foundation, Spain",Spain,,,,4423254
"Volontari Italiani Soladirieta Paesi Emergenti, (VISPE)",Italy,,,,"061-526460    9856026044"
"VZW Shangrila Home",Belgium,,,,9851073835
"Water Aid",England,,,,"5552764    5552765     5011625"
"Winrock International",USA,,,,4467087
"World Assembly of Muslim Youth (WAMY)","Saudi Arabia",,,,44411207
"Women Organising for Change in Agriculture and Natural Resource Management (WOCAN)",USA,,,,9851061348
"World Education",USA,,,,"422385, 422386"
"World Mobilization",Barzil,,,,4437048
"World Neighbors",USA,,,,"4414715     2051818"
"World Vision International",USA,,,,5548877
"World Wildlife Fund (WWF) Inc.",USA,,,,"4434820    4434970"
