District,Zone,Geographical Region,Development Region,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Baitadi,Mahakali,Hill,Far-Western,वातावरणीय ग्रामीण विकास मञ्च ,Environmental Rural Development Forum,,Gajari-02,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,दुर्गा भवानी ग्रामीण विकास संघ ,Durga Bhawani Rural Development Association,,Durgavawani-4,520137/690088,,,,,,
Baitadi,Mahakali,Hill,Far-Western,पुर्चौडी ग्रामीण विकास तथा अनुसन्धान केन्द्र ,Puchaudi Rural Development and Research Centre,,Talladehi-09,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,महादेव चक्रकुण्ड युवा क्लब,Mahadev Chakrakunda Youth Club,,Nwadeu-7,095-690413,,,,,,
Baitadi,Mahakali,Hill,Far-Western,व्यवसाय विकास तथा अनुसन्धान केन्द्र ,Business Development and Research Centre,,Dasarathachandra-1,095-520187,,janakrajbhatt@gmail.com,,,,
Baitadi,Mahakali,Hill,Far-Western,नेपाल त्रि–नेत्र सर्कल ,Nepal Tri Netra Circle,,Memauli-1,096-690231,,,,,,
Baitadi,Mahakali,Hill,Far-Western,भूमिराज बहुआयामिक ग्रामीण समाज ,Bhumiraj Multiple Purose Village Development Society,,Kuwakot-3,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,त्रिवेणी स्वास्थ्य वातावरण समूह ,Triveni Healthy Environment Group,,Puchaudi Hat-4,095-520195,,,,,,"Dirinking water, Irrigation, Income Generation, and Awareness Program"
Baitadi,Mahakali,Hill,Far-Western,नव ग्रामीण विकास केन्द्र ,New Rural Development Centre,,Gokuleshwar-9,095-690359,,,,,,
Baitadi,Mahakali,Hill,Far-Western,पहरौल युवा जनजागरण ,Paharaul Yuba Janajagarn,,Mahadevsthan-04,,,,,,,Protect the historica religious place of Nepal
Baitadi,Mahakali,Hill,Far-Western,संकटग्रस्त सामुदायिक विकास युवा क्लब,Vulnerable Community Development Youth Club,,Kotila-09,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सिगास विकास समिति ,Sigas Development Committee,,Shivaling-4,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,दडमेता समौजी एकता समाज ,Dadameta Samaugi Unity Society,,"Mahadevsthan-09, Baitadi",,,,,,,
Baitadi,Mahakali,Hill,Far-Western,"डोटेली भाषा संस्कृति, कला विकास लै भगिरथ प्रगतिशील सामुदायिक अध्ययन केन्द्र ","Doteli Language Cultural, Art Development Lai Bhagiratha Progressive Community Studies Centre",,Melauli-6,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सनराईज युवा क्लव नेपाल ,Sunrise Youth Club Nepal,,Shankarpur-5,9741054450,,dhoram_awasthi@yahoo.com,,,,
Baitadi,Mahakali,Hill,Far-Western,समाज विकास सरोकार केन्द्र ,Social Development Concern Centre,,Deuleka -3,095-690124,,dalbahadur23@gmail.com,,,,
Baitadi,Mahakali,Hill,Far-Western,विकासोन्मुख युवादीप समुदाय  ,Developing Yuwadeep Community ,,Mahadevsthan-4,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सर्वोहित सामुदायिक विकास युवा क्लव,Sarbohit Community Development Youth Club,,Kotila-6,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,मानव अधिकार तथा समाजसेवा केन्द्र,Human Right and Sicial Service Center,,"Dasharathchand, Municipality-1",095-520268,,,,,,Human Right Education
Baitadi,Mahakali,Hill,Far-Western,अनिरुद्र ग्रामिण सुधार केन्द्,Anirudra Rural Reformative Center,,Shankarpur-05,095-520374,,ambaawasthi@gmail.com,,,,"Agriculture, Livestock, Drinking Water and Sanitation, and Skill Development"
Baitadi,Mahakali,Hill,Far-Western,डोटेली भाषा संस्कृति विकास केन्द्र,"Doteli Language Cultural,  Development Centre",,"Melauli-06, Baitadi",,,,,,,
Baitadi,Mahakali,Hill,Far-Western,नेपाली रिनो सर्कल,Nepali Rino Circle,,Melauli-01,096-690231,,,,,,
Baitadi,Mahakali,Hill,Far-Western,श्री कोट भैरव सामुदायिक विकास केन्द्र,Shree Kot Bhairab Community Development Centre,,"Chaukham, Baitadi",095-690108,,,,,,
Bajhang,Seti,Mountain,Far-Western,गॉउ बिकास कार्यक्रम केन्द्र,Village Development Porgram Centre,VDPC,Chainpur-1,019-461506,,,,,,
Bajhang,Seti,Mountain,Far-Western,विज्ञान प्रविधी तथा वातावरण प्रवर्धन समिति,Science Technology and Enviroment Promotion Committee,STEPC,Chainpur-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,मष्टाजन युवा क्लब,Mastajan Youth Club,MYC,Chamena-5,,,,,,,
Bajhang,Seti,Mountain,Far-Western,साइपाल युवा क्लब,Saipal Youth Club,SYP,Rithapata-6,,,,,,,
Bajhang,Seti,Mountain,Far-Western,हनुमान महिला क्लब,Hanuman Women Club,HWC,Chainpur-8,,,,,,,
Bajhang,Seti,Mountain,Far-Western,चन्द्रदीप युवा क्लब,Chandradeep Youth Club,CYC,Byasi-8,,,,,,,
Bajhang,Seti,Mountain,Far-Western,सामाजिक तथा प्रविधिक विकास सेवा समूह,Group for Social and Technical Development Service,,Chainpur-1,092-421311,,bajhangorg2067@gmail.com,,9749002850.0,Kalak Khatri,"Agriculture, Forest, and Health"
Bajhang,Seti,Mountain,Far-Western,सूर्मा बिकास समाज,Surma Development Society,SDS,Daulichor-5,,,,,,,
Bajhang,Seti,Mountain,Far-Western,दुर्गम क्षेत्र जनजाति बिकास समिति,Remote Area Janajati Development Committee,,Melbisaula-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,छविस ग्रामीण चेतनालय,Chabis Gramin Chetanalya,,Chainpur-1,421117,,,,,,
Bajhang,Seti,Mountain,Far-Western,गरिव उत्थान तथा वातावरण सुधार ,Poverty Upgrading and Environment Improvement,,Rithapata-4,421111,,,,,,
Bajhang,Seti,Mountain,Far-Western,हरिजन सामुदायीक विकास कार्यक्रम ,Harijan Community Development Program,HCDP,Chainpur-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,दलित उत्थान युवा समाज ,Lower Caste Upgrading Youngers Society,LCUYS Baglung,Chainpur-1,092-690185,,lcuys@gmail.com,,9749022489.0,Ganesh Kami,"Income Generation, Physical Infrastructure, Capacity Building, Social Mobilization, Education and Health"
Bajhang,Seti,Mountain,Far-Western,ग्रामीण वातावरण सुधार समिति ,Rural Environment Improvement Committee,REIC,Chainpur-1,421124,,,,,,
Bajhang,Seti,Mountain,Far-Western,भूमिदेव सामाजिक जागारण समिति,Bhumidev Social Awareness Committee,,Daulichaur-5,,,,,,,
Bajhang,Seti,Mountain,Far-Western,गरिवी निवारण तथा नागरिक सशक्तिरण नेपाल ,Poverty Allevation and Public Empowerment Nepal,,Chainpur-1,421123,,,,,,
Bajhang,Seti,Mountain,Far-Western,कृषि शिक्षा तथा स्वास्थ्य प्रवर्धन सेवा समाज ,Agriculture Education and Health Promotion Service Group,,Chainpur-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,दुर्गम क्षेत्र विकास तथा अनुसन्धान केन्द्र ,Remote Area Development and Research Centre,,Chainpur-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,शान्ति जनजागृति तथा प्रगतिशलि समाज ,Peace Public Concious And Progressive Society,,Kadel-8,,,,,,,
Bajhang,Seti,Mountain,Far-Western,समाज विकास तथा सचेतन केन्द्र   ,Society Development and Awarenss Centre,,Chaminpur-1,421120,,,,,,
Bajhang,Seti,Mountain,Far-Western,महिला अधिकार मञ्च,Women Right Forum,,Chainpur-1,092-421313,,wrf.bajhang@gmail.com,,9749002812.0,Juna Jagri,Women Concern
Bajhang,Seti,Mountain,Far-Western,ग्रामीण समाज विकास समिति ,Rural Society Development Committee,RSDC,Ridha-5,,,,,,,
Bajhang,Seti,Mountain,Far-Western,सामुदायिक विकास कार्यक्रम समूह ,Community Development Program Group,,Rayal -1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,ग्रामीण समाज विकास मञ्च ,Rural Society Development Forum,,Matela-7,421117,,,,,,
Bajhang,Seti,Mountain,Far-Western,दलित जनजाति गैर संस्था समन्वय समिति ,Dalit Janajati NGOs Coordination Committee,,Chainpur-1,421124,,,,,,
Bajhang,Seti,Mountain,Far-Western,ग्रामीण विकास तथा अनुसन्धान केन्द्र ,Rural Development and Research Centre,,Rithapata-2,,,,,,,
Bajhang,Seti,Mountain,Far-Western,मानसरोवर अपि हिमाल विकास केन्द्र ,Mana Sharobar Api Himal Development Board,,Chainpur-1,,,,,9759001239.0,Indra B. Bhandari,
Bajhang,Seti,Mountain,Far-Western,सुख समाज विकास केन्द्र ,Sukha Samaj Bikas Kendra,SSDC,Chainpur-1,092-421014,,so.pragati@yahoo.com,,9749002535.0,Omjang B. Shing,"Health, Education, Agriculture, Tourism, Social Development etc"
Bajhang,Seti,Mountain,Far-Western,ग्रामीण सशक्तिकरण मञ्च,Rural Empowerment Forum,,Kotbhairab-3,,,,,,,
Bajhang,Seti,Mountain,Far-Western,मानव अधिकार चेतना अभिवृद्धि केन्द्र ,Human Rights Awareness Progress Centre,,Chainpur-1,019-421503,,,,,,
Bajhang,Seti,Mountain,Far-Western,गरिवी निवारण सहयोग समिति ,Poverty Allevation Helping Committee,,Chainpur-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,दलित महिला पुरुष एकता समाज ,Dalit Women and Men Unity Society,,Chainpur-1,,,,,,,
Bajhang,Seti,Mountain,Far-Western,बझाङ्ग दुग्ध व्यवसायी संघ ,Bajhang Dairy Business Association,,Chainpur-1,421121,,,,,,
Bajhang,Seti,Mountain,Far-Western,बझाङ्ग जडिबुटी व्यवसायी संघ ,Jadibuti Association Of Bajhang ,,Chainpur-1,421111,,,,,,
Bajhang,Seti,Mountain,Far-Western,प्रगतिशील युवा समाज ,Progressive Youth Society,,Rithapata-7,421135,,,,,,
Bajhang,Seti,Mountain,Far-Western,दलित सीप विकास समूह नेपाल ,"Dalit Skill Development Group, Nepal",,Kotebhairab-3,,,,,,,
Bajhang,Seti,Mountain,Far-Western,सामाजिक विकास तथा अनुसन्धान केन्द्र ,Social Development and Research Centre,,Chainpur-1,032-421077,,,,,,
Bajhang,Seti,Mountain,Far-Western,दलित सहयोग समाज ,Dalit Help Society,DHS Bajhang,Lekhagau-7,,,dhs.bajhang@gmail.com,,9749002624.0,Sunil Damai,
Bajhang,Seti,Mountain,Far-Western,कालुखेती समाज कल्याण युवा समिति ,Kalukheti Society Welfare Youth Committee,,Kalukheti-5,,,,,,,
Bajhang,Seti,Mountain,Far-Western,पश्चिम पहाडी दलित सुधार विकास संस्था ,Western Hilli Dalit Improvement Development Organization,,Parakatne-5,,,,,,,
Bajhang,Seti,Mountain,Far-Western,लालीगुराँस युवा समूह,Laligunras Youth Group,,Majhigaun-6,,,,,,,
Bajhang,Seti,Mountain,Far-Western,शिलादेवी जन उत्थान विकास समूह ,Shiladevi Public Progress Development Group,,Chainpur-1,421113,,,,,,
Bajhang,Seti,Mountain,Far-Western,ग्रामीण वहुमुखी विकास संस्था ,Rural Multiple Development Organization,,Masta-2,,,,,,,
Bajhang,Seti,Mountain,Far-Western,शिवशक्ति युवा समाज ,Shivashakti Youth Society,,Pipalkot-5,,,,,,,
